gen	phenotype	value
R	mass	1.4
R	eggsize	248.4723255625332
R	ovarno	34.0
R	winglength	1.933
R	devL1A	7.5
R	devL1LP	3.5
R	devLPA	4.0
P	mass	1.4
P	eggsize	185.09413413408677
P	winglength	1.9340000000000002
P	devL1A	10.5
P	devL1LP	6.5
P	devLPA	4.0
S	mass	1.8
S	eggsize	220.6405465079509
S	ovarno	38.0
S	winglength	1.935
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
P	mass	1.5
P	eggsize	155.1894634892405
P	ovarno	35.0
P	winglength	1.9369999999999998
P	devL1A	10.5
P	devL1LP	6.5
P	devLPA	4.0
P	mass	1.3
P	eggsize	207.5960268823849
P	ovarno	26.0
P	winglength	1.9380000000000002
P	devL1A	9.5
P	devL1LP	5.5
P	devLPA	4.0
S	mass	1.4
S	eggsize	130.14572534873665
S	ovarno	30.0
S	winglength	1.939
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
S	mass	1.6
S	eggsize	184.7923145252024
S	ovarno	33.0
S	winglength	1.94
S	devL1A	10.5
S	devL1LP	6.5
S	devLPA	4.0
P	mass	1.2
P	eggsize	90.67119740060465
P	winglength	1.94
P	devL1A	11.5
P	devL1LP	7.5
P	devLPA	4.0
S	mass	1.6
S	eggsize	169.13811258760356
S	ovarno	41.0
S	winglength	1.9409999999999998
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
R	mass	1.4
R	eggsize	160.05654007636272
R	winglength	1.942
R	devL1A	8.5
R	devL1LP	4.5
R	devLPA	4.0
S	mass	1.9
S	eggsize	103.27614950525579
S	winglength	1.943
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
S	mass	1.1
S	eggsize	148.28743217386244
S	ovarno	32.0
S	winglength	1.944
S	devL1A	8.5
S	devL1LP	4.5
S	devLPA	4.0
S	mass	1.4
S	eggsize	196.0372198571885
S	ovarno	33.0
S	winglength	1.945
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
S	mass	1.5
S	eggsize	234.46333755193112
S	winglength	1.9480000000000002
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
S	mass	1.9
S	eggsize	160.67704443905382
S	ovarno	30.0
S	winglength	1.949
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
S	mass	1.5
S	eggsize	155.1349547075919
S	winglength	1.95
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
S	mass	1.7
S	eggsize	158.6553876995659
S	winglength	1.955
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
S	mass	1.6
S	eggsize	131.94555178380898
S	ovarno	32.0
S	winglength	1.956
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
S	mass	1.3
S	eggsize	197.2911749551738
S	ovarno	36.0
S	winglength	1.956
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
R	mass	1.8
R	eggsize	176.4521784561495
R	ovarno	37.0
R	winglength	1.956
R	devL1A	9.5
R	devL1LP	5.5
R	devLPA	4.0
R	mass	1.8
R	eggsize	151.51654812464062
R	ovarno	33.0
R	winglength	1.9569999999999999
R	devL1A	8.5
R	devL1LP	4.5
R	devLPA	4.0
S	mass	1.4
S	eggsize	176.40147772379703
S	ovarno	38.0
S	winglength	1.9569999999999999
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
S	mass	1.6
S	eggsize	136.8589838278378
S	winglength	1.959
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
S	mass	1.3
S	eggsize	162.56931542007462
S	ovarno	36.0
S	winglength	1.96
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
P	mass	1.5
P	eggsize	190.98371629329944
P	ovarno	25.0
P	winglength	1.962
P	devL1A	10.5
P	devL1LP	6.5
P	devLPA	4.0
S	mass	1.7
S	eggsize	150.44713861772522
S	winglength	1.962
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
P	mass	1.7
P	eggsize	209.29795948070716
P	winglength	1.964
P	devL1A	10.5
P	devL1LP	6.5
P	devLPA	4.0
S	mass	1.6
S	eggsize	134.72645457449687
S	winglength	1.964
S	devL1A	8.5
S	devL1LP	5.5
S	devLPA	3.0
S	mass	1.6
S	eggsize	245.1615184257105
S	ovarno	38.0
S	winglength	1.965
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
R	mass	1.7
R	eggsize	112.27396039551051
R	ovarno	44.0
R	winglength	1.965
R	devL1A	8.5
R	devL1LP	4.5
R	devLPA	4.0
S	mass	1.8
S	eggsize	296.1360006409735
S	winglength	1.969
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
P	mass	1.2
P	eggsize	98.58324543587423
P	ovarno	22.0
P	winglength	1.972
P	devL1A	13.5
P	devL1LP	9.5
P	devLPA	4.0
R	mass	1.8
R	eggsize	205.58999216532226
R	ovarno	36.0
R	winglength	1.972
R	devL1A	7.5
R	devL1LP	3.5
R	devLPA	4.0
S	mass	1.5
S	eggsize	123.9697818898624
S	ovarno	36.0
S	winglength	1.972
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
S	mass	1.4
S	eggsize	160.69387260714325
S	ovarno	28.0
S	winglength	1.974
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
R	mass	1.3
R	eggsize	75.75309956328913
R	ovarno	37.0
R	winglength	1.974
R	devL1A	7.5
R	devL1LP	4.5
R	devLPA	3.0
R	mass	1.4
R	eggsize	85.66996323129634
R	ovarno	38.0
R	winglength	1.974
R	devL1A	7.5
R	devL1LP	4.5
R	devLPA	3.0
R	mass	1.7
R	eggsize	181.1926728956852
R	ovarno	40.0
R	winglength	1.975
R	devL1A	9.5
R	devL1LP	5.5
R	devLPA	4.0
S	mass	1.5
S	eggsize	69.05732228122771
S	ovarno	37.0
S	winglength	1.976
S	devL1A	10.5
S	devL1LP	5.5
S	devLPA	5.0
R	mass	1.3
R	eggsize	186.12539905694481
R	ovarno	24.0
R	winglength	1.9769999999999999
R	devL1A	7.5
R	devL1LP	3.5
R	devLPA	4.0
R	mass	1.3
R	eggsize	125.04519808604596
R	ovarno	35.0
R	winglength	1.9769999999999999
R	devL1A	8.5
R	devL1LP	4.5
R	devLPA	4.0
R	mass	2.5
R	eggsize	117.25323163700509
R	ovarno	37.0
R	winglength	1.9780000000000002
R	devL1A	8.5
R	devL1LP	3.5
R	devLPA	5.0
S	mass	1.7
S	eggsize	209.295394787904
S	winglength	1.9780000000000002
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
S	mass	1.6
S	eggsize	192.69757758382104
S	ovarno	37.0
S	winglength	1.98
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
S	mass	1.7
S	eggsize	175.9656621538375
S	winglength	1.98
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
S	mass	1.7
S	eggsize	145.19126317712966
S	ovarno	34.0
S	winglength	1.9809999999999999
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
S	mass	1.8
S	eggsize	174.72709175386436
S	winglength	1.9809999999999999
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
S	mass	1.6
S	eggsize	267.09990733445045
S	ovarno	36.0
S	winglength	1.982
S	devL1A	8.5
S	devL1LP	5.5
S	devLPA	3.0
S	mass	1.2
S	eggsize	178.87598248671898
S	winglength	1.982
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
S	mass	1.6
S	eggsize	79.20229411802717
S	ovarno	42.0
S	winglength	1.983
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
S	mass	1.9
S	eggsize	229.91101051681375
S	winglength	1.985
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
S	mass	1.4
S	eggsize	124.47824922466252
S	ovarno	30.0
S	winglength	1.986
S	devL1A	9.5
S	devL1LP	5.5
S	devLPA	4.0
S	mass	1.6
S	eggsize	157.20331643862175
S	ovarno	37.0
S	winglength	1.986
S	devL1A	8.5
S	devL1LP	5.5
S	devLPA	3.0
P	mass	1.4
P	eggsize	183.78428263885465
P	winglength	1.9880000000000002
P	devL1A	10.5
P	devL1LP	6.5
P	devLPA	4.0
R	mass	1.6
R	eggsize	152.35353582555211
R	ovarno	34.0
R	winglength	1.989
R	devL1A	7.5
R	devL1LP	3.5
R	devLPA	4.0
S	mass	2.0
S	eggsize	163.99847486909383
S	ovarno	36.0
S	winglength	1.989
S	devL1A	9.5
