gen1	gen2	phenotype	pvalue
PP	RPR	ovarno	5.2e-13
RPR	PP	ovarno	5.2e-13
PPP	RPR	ovarno	1.6899999999999997e-09
RPR	PPP	ovarno	1.6899999999999997e-09
PPR	RPR	ovarno	1.0
RPR	PPR	ovarno	1.0
PR	RPR	ovarno	1.0
RPR	PR	ovarno	1.0
PRP	RPR	ovarno	9.37e-08
RPR	PRP	ovarno	9.37e-08
PRR	RPR	ovarno	1.0
RPR	PRR	ovarno	1.0
R	RPR	ovarno	1.0
RPR	R	ovarno	1.0
RP	RPR	ovarno	5.400000000000001e-06
RPR	RP	ovarno	5.400000000000001e-06
RPP	RPR	ovarno	9.41e-11
RPR	RPP	ovarno	9.41e-11
P	RR	ovarno	6.23e-18
RR	P	ovarno	6.23e-18
PP	RR	ovarno	2.9399999999999997e-11
RR	PP	ovarno	2.9399999999999997e-11
PPP	RR	ovarno	4.75e-08
RR	PPP	ovarno	4.75e-08
PPR	RR	ovarno	1.0
RR	PPR	ovarno	1.0
PR	RR	ovarno	1.0
RR	PR	ovarno	1.0
PRP	RR	ovarno	2.02e-06
RR	PRP	ovarno	2.02e-06
PRR	RR	ovarno	1.0
RR	PRR	ovarno	1.0
R	RR	ovarno	1.0
RR	R	ovarno	1.0
RP	RR	ovarno	6.54e-05
RR	RP	ovarno	6.54e-05
RPP	RR	ovarno	5.8e-09
RR	RPP	ovarno	5.8e-09
RPR	RR	ovarno	1.0
RR	RPR	ovarno	1.0
P	RRP	ovarno	0.001232819
RRP	P	ovarno	0.001232819
PP	RRP	ovarno	0.31985008800000003
RRP	PP	ovarno	0.31985008800000003
PPP	RRP	ovarno	1.0
RRP	PPP	ovarno	1.0
PPR	RRP	ovarno	0.000374937
RRP	PPR	ovarno	0.000374937
PR	RRP	ovarno	0.027508618
RRP	PR	ovarno	0.027508618
PRP	RRP	ovarno	1.0
RRP	PRP	ovarno	1.0
PRR	RRP	ovarno	0.003019791
RRP	PRR	ovarno	0.003019791
R	RRP	ovarno	0.001827551
RRP	R	ovarno	0.001827551
RP	RRP	ovarno	1.0
RRP	RP	ovarno	1.0
RPP	RRP	ovarno	1.0
RRP	RPP	ovarno	1.0
RPR	RRP	ovarno	6.57e-05
RRP	RPR	ovarno	6.57e-05
RR	RRP	ovarno	0.0014313960000000001
RRP	RR	ovarno	0.0014313960000000001
P	RRR	ovarno	1.49e-17
RRR	P	ovarno	1.49e-17
PP	RRR	ovarno	2.46e-11
RRR	PP	ovarno	2.46e-11
PPP	RRR	ovarno	2.64e-08
RRR	PPP	ovarno	2.64e-08
PPR	RRR	ovarno	1.0
RRR	PPR	ovarno	1.0
PR	RRR	ovarno	1.0
RRR	PR	ovarno	1.0
PRP	RRR	ovarno	1.04e-06
RRR	PRP	ovarno	1.04e-06
PRR	RRR	ovarno	1.0
RRR	PRR	ovarno	1.0
R	RRR	ovarno	1.0
RRR	R	ovarno	1.0
RP	RRR	ovarno	3.21e-05
RRR	RP	ovarno	3.21e-05
RPP	RRR	ovarno	5.04e-09
RRR	RPP	ovarno	5.04e-09
RPR	RRR	ovarno	1.0
RRR	RPR	ovarno	1.0
RR	RRR	ovarno	1.0
RRR	RR	ovarno	1.0
RRP	RRR	ovarno	0.000719475
RRR	RRP	ovarno	0.000719475
P	S	ovarno	2.2100000000000003e-11
S	P	ovarno	2.2100000000000003e-11
PP	S	ovarno	6.46e-06
S	PP	ovarno	6.46e-06
PPP	S	ovarno	0.000840154
S	PPP	ovarno	0.000840154
PPR	S	ovarno	0.071469497
S	PPR	ovarno	0.071469497
PR	S	ovarno	1.0
S	PR	ovarno	1.0
PRP	S	ovarno	0.013288208000000001
S	PRP	ovarno	0.013288208000000001
PRR	S	ovarno	0.646004381
S	PRR	ovarno	0.646004381
R	S	ovarno	0.960035042
S	R	ovarno	0.960035042
RP	S	ovarno	0.072738292
S	RP	ovarno	0.072738292
RPP	S	ovarno	0.001335378
S	RPP	ovarno	0.001335378
RPR	S	ovarno	0.03596228
S	RPR	ovarno	0.03596228
RR	S	ovarno	0.534666741
S	RR	ovarno	0.534666741
RRP	S	ovarno	1.0
S	RRP	ovarno	1.0
RRR	S	ovarno	0.252755173
S	RRR	ovarno	0.252755173
P	SS	ovarno	2.59e-11
SS	P	ovarno	2.59e-11
PP	SS	ovarno	1.65e-06
SS	PP	ovarno	1.65e-06
PPP	SS	ovarno	0.000157575
SS	PPP	ovarno	0.000157575
PPR	SS	ovarno	1.0
SS	PPR	ovarno	1.0
PR	SS	ovarno	1.0
SS	PR	ovarno	1.0
PRP	SS	ovarno	0.00249773
SS	PRP	ovarno	0.00249773
PRR	SS	ovarno	1.0
SS	PRR	ovarno	1.0
R	SS	ovarno	1.0
SS	R	ovarno	1.0
RP	SS	ovarno	0.0156959
SS	RP	ovarno	0.0156959
RPP	SS	ovarno	0.000303282
SS	RPP	ovarno	0.000303282
RPR	SS	ovarno	1.0
SS	RPR	ovarno	1.0
RR	SS	ovarno	1.0
SS	RR	ovarno	1.0
RRP	SS	ovarno	0.945624398
SS	RRP	ovarno	0.945624398
RRR	SS	ovarno	1.0
SS	RRR	ovarno	1.0
S	SS	ovarno	1.0
SS	S	ovarno	1.0
P	SSS	ovarno	6.16e-10
SSS	P	ovarno	6.16e-10
PP	SSS	ovarno	3.14e-06
SSS	PP	ovarno	3.14e-06
PPP	SSS	ovarno	0.000110427
SSS	PPP	ovarno	0.000110427
PPR	SSS	ovarno	1.0
SSS	PPR	ovarno	1.0
PR	SSS	ovarno	1.0
SSS	PR	ovarno	1.0
PRP	SSS	ovarno	0.001321034
SSS	PRP	ovarno	0.001321034
PRR	SSS	ovarno	1.0
SSS	PRR	ovarno	1.0
R	SSS	ovarno	1.0
SSS	R	ovarno	1.0
RP	SSS	ovarno	0.006495101
SSS	RP	ovarno	0.006495101
RPP	SSS	ovarno	0.000401473
SSS	RPP	ovarno	0.000401473
RPR	SSS	ovarno	1.0
SSS	RPR	ovarno	1.0
RR	SSS	ovarno	1.0
SSS	RR	ovarno	1.0
RRP	SSS	ovarno	0.375436227
SSS	RRP	ovarno	0.375436227
RRR	SSS	ovarno	1.0
SSS	RRR	ovarno	1.0
S	SSS	ovarno	1.0
SSS	S	ovarno	1.0
SS	SSS	ovarno	1.0
