,chi2,Z,P,P.adjusted,comparisons
143,629.1469389,-8.173422069,1.50E-16,4.50E-14,PRP - RRR
144,629.1469389,-2.296138503,0.010833982,1,PRR - RRR
145,629.1469389,-5.554747181,1.39E-08,4.17E-06,PS - RRR
146,629.1469389,-7.768723724,3.96E-15,1.19E-12,PSP - RRR
147,629.1469389,-2.824208439,0.002369877,0.710963245,PSS - RRR
148,629.1469389,0.502008905,0.307830629,1,R - RRR
149,629.1469389,-8.43818846,1.61E-17,4.83E-15,RP - RRR
150,629.1469389,-8.868848347,3.70E-19,1.11E-16,RPP - RRR
151,629.1469389,-3.705641427,0.000105428,0.031628465,RPR - RRR
152,629.1469389,0.321810443,0.373798151,1,RR - RRR
153,629.1469389,-9.194577733,1.88E-20,5.65E-18,RRP - RRR
154,629.1469389,-7.79940396,3.11E-15,9.33E-13,P - RRS
155,629.1469389,-7.563814755,1.96E-14,5.87E-12,PP - RRS
156,629.1469389,-6.61206012,1.90E-11,5.69E-09,PPP - RRS
157,629.1469389,-1.273119137,0.101487885,1,PPR - RRS
158,629.1469389,-1.004344091,0.157606394,1,PPS - RRS
159,629.1469389,-0.768599717,0.221065487,1,PR - RRS
160,629.1469389,-6.829101453,4.27E-12,1.28E-09,PRP - RRS
161,629.1469389,-0.841016921,0.200169228,1,PRR - RRS
162,629.1469389,-4.054390166,2.51E-05,0.007539789,PS - RRS
163,629.1469389,-6.38350737,8.65E-11,2.60E-08,PSP - RRS
164,629.1469389,-1.39179945,0.081991568,1,PSS - RRS
165,629.1469389,2.281456903,0.011260712,1,R - RRS
166,629.1469389,-7.225125428,2.50E-13,7.51E-11,RP - RRS
167,629.1469389,-7.474310675,3.88E-14,1.16E-11,RPP - RRS
168,629.1469389,-2.289289812,0.01103126,1,RPR - RRS
169,629.1469389,1.922326095,0.027282369,1,RR - RRS
170,629.1469389,-7.811221664,2.83E-15,8.50E-13,RRP - RRS
171,629.1469389,1.544240216,0.061265075,1,RRR - RRS
172,629.1469389,-6.84741355,3.76E-12,1.13E-09,P - RS
173,629.1469389,-6.719048612,9.15E-12,2.74E-09,PP - RS
174,629.1469389,-5.839844966,2.61E-09,7.84E-07,PPP - RS
175,629.1469389,-0.689527643,0.245245642,1,PPR - RS
176,629.1469389,-0.335031551,0.368800643,1,PPS - RS
177,629.1469389,-0.04780401,0.48093622,1,PR - RS
178,629.1469389,-6.03596169,7.90E-10,2.37E-07,PRP - RS
179,629.1469389,-0.192501276,0.423674784,1,PRR - RS
180,629.1469389,-3.265451848,0.000546448,0.163934378,PS - RS
181,629.1469389,-5.576484647,1.23E-08,3.68E-06,PSP - RS
182,629.1469389,-0.737655473,0.230361918,1,PSS - RS
183,629.1469389,2.959407088,0.001541158,0.462347449,R - RS
184,629.1469389,-6.523458904,3.44E-11,1.03E-08,RP - RS
185,629.1469389,-6.606287114,1.97E-11,5.91E-09,RPP - RS
186,629.1469389,-1.615580128,0.053092562,1,RPR - RS
187,629.1469389,2.548756732,0.005405384,1,RR - RS
188,629.1469389,-6.93590674,2.02E-12,6.05E-10,RRP - RS
189,629.1469389,2.160815999,0.015354778,1,RRR - RS
190,629.1469389,0.663049726,0.253649354,1,RRS - RS
191,629.1469389,-9.108666953,4.17E-20,1.25E-17,P - RSR
192,629.1469389,-8.880788972,3.32E-19,9.96E-17,PP - RSR
193,629.1469389,-8.004107055,6.02E-16,1.81E-13,PPP - RSR
194,629.1469389,-2.994298161,0.001375385,0.412615482,PPR - RSR
195,629.1469389,-2.95613285,0.001557614,0.467284315,PPS - RSR
196,629.1469389,-2.871229,0.002044396,0.613318802,PR - RSR
197,629.1469389,-8.20886098,1.12E-16,3.35E-14,PRP - RSR
198,629.1469389,-2.767628478,0.002823289,0.846986763,PRR - RSR
199,629.1469389,-5.77739386,3.79E-09,1.14E-06,PS - RSR
200,629.1469389,-7.822964578,2.58E-15,7.74E-13,PSP - RSR
201,629.1469389,-3.257464868,0.000562061,0.168618259,PSS - RSR
202,629.1469389,-0.255360764,0.399222236,1,R - RSR
203,629.1469389,-8.50935411,8.75E-18,2.62E-15,RP - RSR
204,629.1469389,-8.808883251,6.32E-19,1.90E-16,RPP - RSR
205,629.1469389,-4.077991291,2.27E-05,0.00681397,RPR - RSR
206,629.1469389,-0.360104623,0.359384448,1,RR - RSR
207,629.1469389,-9.106970457,4.24E-20,1.27E-17,RRP - RSR
208,629.1469389,-0.641812345,0.260497516,1,RRR - RSR
209,629.1469389,-2.084151251,0.018573206,1,RRS - RSR
210,629.1469389,-2.648905248,0.004037648,1,RS - RSR
211,629.1469389,-4.582355293,2.30E-06,0.000689652,P - RSS
212,629.1469389,-4.664999202,1.54E-06,0.000462927,PP - RSS
213,629.1469389,-3.91534131,4.51E-05,0.013541461,PPP - RSS
214,629.1469389,0.920306996,0.178706177,1,PPR - RSS
215,629.1469389,1.505424217,0.066107523,1,PPS - RSS
216,629.1469389,1.933774883,0.026570406,1,PR - RSS
217,629.1469389,-4.071827887,2.33E-05,0.006996846,PRP - RSS
218,629.1469389,1.599099329,0.054899267,1,PRR - RSS
219,629.1469389,-1.232465593,0.108887606,1,PS - RSS
220,629.1469389,-3.570991073,0.000177817,0.053344953,PSP - RSS
221,629.1469389,1.05166425,0.146476809,1,PSS - RSS
222,629.1469389,4.955549403,3.61E-07,0.000108189,R - RSS
223,629.1469389,-4.766685091,9.36E-07,0.000280923,RP - RSS
224,629.1469389,-4.501827583,3.37E-06,0.001010574,RPP - RSS
225,629.1469389,0.1966524,0.422049781,1,RPR - RSS
226,629.1469389,4.376989159,6.02E-06,0.001804949,RR - RSS
227,629.1469389,-4.82554551,6.98E-07,0.000209431,RRP - RSS
228,629.1469389,3.945914798,3.97E-05,0.011924382,RRR - RSS
229,629.1469389,2.521134056,0.005848864,1,RRS - RSS
230,629.1469389,1.835340482,0.033227628,1,RS - RSS
231,629.1469389,4.30187095,8.47E-06,0.002540429,RSR - RSS
232,629.1469389,-10.29991197,3.53E-25,1.06E-22,P - S
233,629.1469389,-9.518010137,8.83E-22,2.65E-19,PP - S
234,629.1469389,-8.191050685,1.29E-16,3.88E-14,PPP - S
235,629.1469389,-1.893438184,0.029149811,1,PPR - S
236,629.1469389,-1.737885083,0.041115532,1,PPS - S
237,629.1469389,-1.562212051,0.059119021,1,PR - S
238,629.1469389,-8.506375788,8.97E-18,2.69E-15,PRP - S
239,629.1469389,-1.521072098,0.064120873,1,PRR - S
240,629.1469389,-5.449016848,2.53E-08,7.60E-06,PS - S
241,629.1469389,-8.077176982,3.31E-16,9.94E-14,PSP - S
242,629.1469389,-2.142249814,0.016086692,1,PSS - S
243,629.1469389,2.062052374,0.019601375,1,R - S
244,629.1469389,-8.597946684,4.06E-18,1.22E-15,RP - S
245,629.1469389,-9.52565475,8.20E-22,2.46E-19,RPP - S
246,629.1469389,-3.173453171,0.000753186,0.2259558,RPR - S
247,629.1469389,1.62911248,0.051644605,1,RR - S
248,629.1469389,-9.925564474,1.61E-23,4.83E-21,RRP - S
249,629.1469389,1.196987462,0.115655721,1,RRR - S
250,629.1469389,-0.597234419,0.275175441,1,RRS - S
251,629.1469389,-1.345135335,0.089290767,1,RS - S
252,629.1469389,1.818398102,0.034501654,1,RSR - S
253,629.1469389,-3.456580715,0.000273538,0.082061301,RSS - S
254,629.1469389,-6.323717893,1.28E-10,3.83E-08,P - SS
255,629.1469389,-6.212906841,2.60E-10,7.80E-08,PP - SS
256,629.1469389,-5.317803115,5.25E-08,1.58E-05,PPP - SS
257,629.1469389,-0.078122947,0.468865127,1,PPR - SS
258,629.1469389,0.383672409,0.350610632,1,PPS - SS
259,629.1469389,0.745723321,0.227917284,1,PR - SS
260,629.1469389,-5.514840313,1.75E-08,5.24E-06,PRP - SS
261,629.1469389,0.511256315,0.304585795,1,PRR - SS
262,629.1469389,-2.609421257,0.004534776,1,PS - SS
263,629.1469389,-5.029468135,2.46E-07,7.38E-05,PSP - SS
264,629.1469389,-0.056409302,0.477507873,1,PSS - SS
265,629.1469389,3.922987156,4.37E-05,0.013118672,R - SS
266,629.1469389,-6.053968702,7.07E-10,2.12E-07,RP - SS
267,629.1469389,-6.088864663,5.69E-10,1.71E-07,RPP - SS
268,629.1469389,-0.959907723,0.16855083,1,RPR - SS
269,629.1469389,3.388797386,0.000350999,0.105299792,RR - SS
270,629.1469389,-6.432484207,6.28E-11,1.88E-08,RRP - SS
271,629.1469389,2.959190323,0.001542243,0.462672809,RRR - SS
272,629.1469389,1.433037027,0.075923628,1,RRS - SS
273,629.1469389,0.730673124,0.232489418,1,RS - SS
274,629.1469389,3.393995704,0.000344404,0.10332116,RSR - SS
275,629.1469389,-1.180092089,0.118981795,1,RSS - SS
276,629.1469389,2.280997199,0.011274306,1,S - SS
277,629.1469389,-4.78439759,8.58E-07,0.000257251,P - SSS
278,629.1469389,-4.898657286,4.82E-07,0.000144741,PP - SSS
279,629.1469389,-4.281015189,9.30E-06,0.00279064,PPP - SSS
280,629.1469389,-0.028747418,0.488533019,1,PPR - SSS
281,629.1469389,0.353700212,0.361781782,1,PPS - SSS
282,629.1469389,0.632143746,0.263646476,1,PR - SSS
283,629.1469389,-4.410089451,5.17E-06,0.001549919,PRP - SSS
284,629.1469389,0.460568175,0.322554225,1,PRR - SSS
285,629.1469389,-2.015852667,0.021907692,1,PS - SSS
286,629.1469389,-3.98010711,3.44E-05,0.010332634,PSP - SSS
287,629.1469389,-0.005523472,0.497796465,1,PSS - SSS
288,629.1469389,3.090335536,0.000999652,0.299895741,R - SSS
289,629.1469389,-5.042153853,2.30E-07,6.90E-05,RP - SSS
290,629.1469389,-4.751054599,1.01E-06,0.000303538,RPP - SSS
291,629.1469389,-0.746669832,0.227631442,1,RPR - SSS
292,629.1469389,2.778337586,0.002731891,0.819567303,RR - SSS
293,629.1469389,-5.021672889,2.56E-07,7.68E-05,RRP - SSS
294,629.1469389,2.455821256,0.007028153,1,RRR - SSS
295,629.1469389,1.199337954,0.115198281,1,RRS - SSS
296,629.1469389,0.635776238,0.262461139,1,RS - SSS
297,629.1469389,2.880734903,0.001983746,0.595123778,RSR - SSS
298,629.1469389,-0.923256696,0.177936725,1,RSS - SSS
299,629.1469389,1.783195207,0.037277266,1,S - SSS
300,629.1469389,0.042856338,0.482908027,1,SS - SSS
