,chi2,Z,P,P.adjusted,comparisons
145,1018.978753,5.704337438,5.84E-09,1.75E-06,PS - RRR
162,1018.978753,-0.355436511,0.3611313,1,PS - RRS
180,1018.978753,-1.856994921,0.031655938,1,PS - RS
199,1018.978753,5.054598406,2.16E-07,6.47E-05,PS - RSR
219,1018.978753,-1.06137942,0.144258753,1,PS - RSS
240,1018.978753,0.568276502,0.284923616,1,PS - S
262,1018.978753,-2.318542748,0.010209921,1,PS - SS
285,1018.978753,-0.880831088,0.189204625,1,PS - SSS
55,1018.978753,3.428891177,0.000303026,0.090907872,PSP - PSS
65,1018.978753,12.63847056,6.48E-37,1.94E-34,PSP - R
76,1018.978753,-0.948887472,0.171338923,1,PSP - RP
88,1018.978753,4.440690976,4.48E-06,0.001345057,PSP - RPP
101,1018.978753,12.04274274,1.06E-33,3.18E-31,PSP - RPR
115,1018.978753,10.7889236,1.94E-27,5.82E-25,PSP - RR
130,1018.978753,5.066794751,2.02E-07,6.07E-05,PSP - RRP
146,1018.978753,11.05694198,1.01E-28,3.04E-26,PSP - RRR
163,1018.978753,5.366490292,4.01E-08,1.20E-05,PSP - RRS
181,1018.978753,3.799167176,7.26E-05,0.021777471,PSP - RS
200,1018.978753,10.01356135,6.64E-24,1.99E-21,PSP - RSR
220,1018.978753,4.474815468,3.82E-06,0.00114716,PSP - RSS
241,1018.978753,7.213788032,2.72E-13,8.16E-11,PSP - S
263,1018.978753,3.577617182,0.00017337,0.052011118,PSP - SS
286,1018.978753,3.790015566,7.53E-05,0.022595677,PSP - SSS
66,1018.978753,7.824663292,2.55E-15,7.64E-13,PSS - R
77,1018.978753,-3.905221701,4.71E-05,0.014120856,PSS - RP
89,1018.978753,0.509279556,0.305278143,1,PSS - RPP
102,1018.978753,8.002338392,6.10E-16,1.83E-13,PSS - RPR
116,1018.978753,6.628264537,1.70E-11,5.09E-09,PSS - RR
131,1018.978753,1.082338186,0.139551142,1,PSS - RRP
147,1018.978753,7.009830491,1.19E-12,3.58E-10,PSS - RRR
164,1018.978753,1.612183393,0.053461019,1,PSS - RRS
