,chi2,Z,P,P.adjusted,comparisons
74,741.8676771,9.633747126,2.88E-22,8.64E-20,poor_rich_rich - rich_poor
86,741.8676771,8.176987587,1.46E-16,4.37E-14,poor_rich_rich - rich_poor_poor
99,741.8676771,0.100382759,0.460020228,1,poor_rich_rich - rich_poor_rich
113,741.8676771,1.798326119,0.036062672,1,poor_rich_rich - rich_rich
128,741.8676771,7.445632421,4.82E-14,1.45E-11,poor_rich_rich - rich_rich_poor
144,741.8676771,-0.2604759,0.397248352,1,poor_rich_rich - rich_rich_rich
161,741.8676771,3.098447697,0.000972687,0.291805957,poor_rich_rich - rich_rich_std
179,741.8676771,4.160557956,1.59E-05,0.004762066,poor_rich_rich - rich_std
198,741.8676771,-0.555594385,0.289244085,1,poor_rich_rich - rich_std_rich
218,741.8676771,2.46464782,0.006857399,1,poor_rich_rich - rich_std_std
239,741.8676771,4.61364161,1.98E-06,0.000593512,poor_rich_rich - std
261,741.8676771,4.895464796,4.90E-07,0.00014711,poor_rich_rich - std_std
284,741.8676771,2.179857013,0.014634031,1,poor_rich_rich - std_std_std
45,741.8676771,5.510605814,1.79E-08,5.36E-06,poor_std - poor_std_poor
54,741.8676771,-0.07233698,0.471166868,1,poor_std - poor_std_std
64,741.8676771,-1.3489613,0.088674698,1,poor_std - rich
75,741.8676771,7.769412214,3.94E-15,1.18E-12,poor_std - rich_poor
87,741.8676771,5.910699679,1.70E-09,5.11E-07,poor_std - rich_poor_poor
100,741.8676771,-2.951400005,0.001581685,0.474505433,poor_std - rich_poor_rich
114,741.8676771,-1.221722447,0.110906302,1,poor_std - rich_rich
129,741.8676771,5.069884207,1.99E-07,5.97E-05,poor_std - rich_rich_poor
145,741.8676771,-3.438717792,0.000292238,0.087671427,poor_std - rich_rich_rich
162,741.8676771,0.236282129,0.406606877,1,poor_std - rich_rich_std
180,741.8676771,1.526727761,0.063414361,1,poor_std - rich_std
199,741.8676771,-3.332599354,0.000430194,0.129058116,poor_std - rich_std_rich
219,741.8676771,-0.378018893,0.352708279,1,poor_std - rich_std_std
240,741.8676771,1.58871327,0.056062571,1,poor_std - std
262,741.8676771,2.271761944,0.011550446,1,poor_std - std_std
285,741.8676771,-0.25596556,0.398988715,1,poor_std - std_std_std
55,741.8676771,-5.041363915,2.31E-07,6.93E-05,poor_std_poor - poor_std_std
65,741.8676771,-7.019740049,1.11E-12,3.33E-10,poor_std_poor - rich
76,741.8676771,3.028689168,0.001228086,0.368425877,poor_std_poor - rich_poor
88,741.8676771,0.168925569,0.432927594,1,poor_std_poor - rich_poor_poor
101,741.8676771,-7.782767251,3.55E-15,1.06E-12,poor_std_poor - rich_poor_rich
115,741.8676771,-6.38518216,8.56E-11,2.57E-08,poor_std_poor - rich_rich
130,741.8676771,-0.644380043,0.259664511,1,poor_std_poor - rich_rich_poor
146,741.8676771,-8.378482163,2.68E-17,8.04E-15,poor_std_poor - rich_rich_rich
163,741.8676771,-4.994578523,2.95E-07,8.84E-05,poor_std_poor - rich_rich_std
181,741.8676771,-3.546266356,0.000195366,0.058609658,poor_std_poor - rich_std
200,741.8676771,-7.652301727,9.87E-15,2.96E-12,poor_std_poor - rich_std_rich
220,741.8676771,-5.399906033,3.33E-08,1.00E-05,poor_std_poor - rich_std_std
241,741.8676771,-4.561101123,2.54E-06,0.000763291,poor_std_poor - std
263,741.8676771,-3.018023686,0.001272145,0.381643527,poor_std_poor - std_std
286,741.8676771,-4.485404976,3.64E-06,0.001091634,poor_std_poor - std_std_std
66,741.8676771,-1.124942186,0.130306767,1,poor_std_std - rich
77,741.8676771,7.260886371,1.92E-13,5.77E-11,poor_std_std - rich_poor
89,741.8676771,5.363603731,4.08E-08,1.22E-05,poor_std_std - rich_poor_poor
102,741.8676771,-2.638904757,0.004158717,1,poor_std_std - rich_poor_rich
116,741.8676771,-1.039167859,0.149363338,1,poor_std_std - rich_rich
131,741.8676771,4.610964973,2.00E-06,0.000601206,poor_std_std - rich_rich_poor
147,741.8676771,-3.070220006,0.001069506,0.320851712,poor_std_std - rich_rich_rich
164,741.8676771,0.283152839,0.388529839,1,poor_std_std - rich_rich_std
182,741.8676771,1.459648461,0.072193357,1,poor_std_std - rich_std
201,741.8676771,-3.046890106,0.001156111,0.346833341,poor_std_std - rich_std_rich
221,741.8676771,-0.27801067,0.390502084,1,poor_std_std - rich_std_std
242,741.8676771,1.470591144,0.07070086,1,poor_std_std - std
264,741.8676771,2.127364413,0.016694908,1,poor_std_std - std_std
287,741.8676771,-0.182416287,0.427628023,1,poor_std_std - std_std_std
78,741.8676771,9.068303539,6.04E-20,1.81E-17,rich - rich_poor
90,741.8676771,7.5121944,2.91E-14,8.72E-12,rich - rich_poor_poor
103,741.8676771,-1.860925876,0.031377323,1,rich - rich_poor_rich
117,741.8676771,-0.003091835,0.498766538,1,rich - rich_rich
132,741.8676771,6.636978022,1.60E-11,4.80E-09,rich - rich_rich_poor
148,741.8676771,-2.335537009,0.009757692,1,rich - rich_rich_rich
165,741.8676771,1.513570424,0.065067414,1,rich - rich_rich_std
183,741.8676771,2.793094799,0.002610319,0.783095847,rich - rich_std
202,741.8676771,-2.369064929,0.008916561,1,rich - rich_std_rich
222,741.8676771,0.82574984,0.204473007,1,rich - rich_std_std
243,741.8676771,3.185421337,0.000722717,0.216815091,rich - std
265,741.8676771,3.621760715,0.000146302,0.043890707,rich - std_std
288,741.8676771,0.743264109,0.228660898,1,rich - std_std_std
91,741.8676771,-2.969308043,0.001492356,0.44770684,rich_poor - rich_poor_poor
104,741.8676771,-9.641469632,2.67E-22,8.01E-20,rich_poor - rich_poor_rich
118,741.8676771,-8.467558298,1.25E-17,3.76E-15,rich_poor - rich_rich
133,741.8676771,-3.657569729,0.000127309,0.038192701,rich_poor - rich_rich_poor
149,741.8676771,-10.17246235,1.32E-24,3.95E-22,rich_poor - rich_rich_rich
166,741.8676771,-7.275146978,1.73E-13,5.19E-11,rich_poor - rich_rich_std
184,741.8676771,-5.976126906,1.14E-09,3.43E-07,rich_poor - rich_std
203,741.8676771,-9.453714673,1.64E-21,4.91E-19,rich_poor - rich_std_rich
223,741.8676771,-7.585842654,1.65E-14,4.95E-12,rich_poor - rich_std_std
244,741.8676771,-7.072750673,7.59E-13,2.28E-10,rich_poor - std
266,741.8676771,-5.574867918,1.24E-08,3.72E-06,rich_poor - std_std
289,741.8676771,-6.572765312,2.47E-11,7.41E-09,rich_poor - std_std_std
105,741.8676771,-8.186169104,1.35E-16,4.05E-14,rich_poor_poor - rich_poor_rich
119,741.8676771,-6.780078401,6.01E-12,1.80E-09,rich_poor_poor - rich_rich
134,741.8676771,-0.847066975,0.198478896,1,rich_poor_poor - rich_rich_poor
150,741.8676771,-8.819772442,5.73E-19,1.72E-16,rich_poor_poor - rich_rich_rich
167,741.8676771,-5.341931453,4.60E-08,1.38E-05,rich_poor_poor - rich_rich_std
185,741.8676771,-3.824389354,6.55E-05,0.01966449,rich_poor_poor - rich_std
204,741.8676771,-7.983323866,7.12E-16,2.14E-13,rich_poor_poor - rich_std_rich
224,741.8676771,-5.740620057,4.72E-09,1.41E-06,rich_poor_poor - rich_std_std
245,741.8676771,-4.986661876,3.07E-07,9.21E-05,rich_poor_poor - std
267,741.8676771,-3.293157362,0.000495345,0.148603515,rich_poor_poor - std_std
290,741.8676771,-4.723022302,1.16E-06,0.000348548,rich_poor_poor - std_std_std
120,741.8676771,1.715620362,0.043115775,1,rich_poor_rich - rich_rich
135,741.8676771,7.443905845,4.89E-14,1.47E-11,rich_poor_rich - rich_rich_poor
151,741.8676771,-0.367605539,0.356583692,1,rich_poor_rich - rich_rich_rich
168,741.8676771,3.033031147,0.001210553,0.363165914,rich_poor_rich - rich_rich_std
186,741.8676771,4.109385463,1.98E-05,0.005950701,rich_poor_rich - rich_std
205,741.8676771,-0.653245532,0.256799,1,rich_poor_rich - rich_std_rich
225,741.8676771,2.392010146,0.00837819,1,rich_poor_rich - rich_std_std
246,741.8676771,4.571968168,2.42E-06,0.000724747,rich_poor_rich - std
268,741.8676771,4.854284836,6.04E-07,0.000181233,rich_poor_rich - std_std
291,741.8676771,2.111032893,0.017384742,1,rich_poor_rich - std_std_std
136,741.8676771,5.990508168,1.05E-09,3.14E-07,rich_rich - rich_rich_poor
152,741.8676771,-2.144578325,0.015993288,1,rich_rich - rich_rich_rich
169,741.8676771,1.385007573,0.083025076,1,rich_rich - rich_rich_std
187,741.8676771,2.570741808,0.005074048,1,rich_rich - rich_std
206,741.8676771,-2.221293955,0.013165529,1,rich_rich - rich_std_rich
226,741.8676771,0.761943353,0.223046907,1,rich_rich - rich_std_std
247,741.8676771,2.813966611,0.002446716,0.73401466,rich_rich - std
269,741.8676771,3.310173336,0.000466191,0.139857319,rich_rich - std_std
292,741.8676771,0.703091792,0.240999273,1,rich_rich - std_std_std
153,741.8676771,-8.057249908,3.90E-16,1.17E-13,rich_rich_poor - rich_rich_rich
170,741.8676771,-4.548193637,2.71E-06,0.000811625,rich_rich_poor - rich_rich_std
188,741.8676771,-3.06186682,0.001099806,0.329941943,rich_rich_poor - rich_std
207,741.8676771,-7.32388312,1.20E-13,3.61E-11,rich_rich_poor - rich_std_rich
227,741.8676771,-4.978097523,3.21E-07,9.63E-05,rich_rich_poor - rich_std_std
248,741.8676771,-4.049238032,2.57E-05,0.007707699,rich_rich_poor - std
270,741.8676771,-2.499419546,0.006219847,1,rich_rich_poor - std_std
293,741.8676771,-4.08772207,2.18E-05,0.006534444,rich_rich_poor - std_std_std
171,741.8676771,3.496410912,0.000235781,0.070734289,rich_rich_rich - rich_rich_std
189,741.8676771,4.579923782,2.33E-06,0.000697718,rich_rich_rich - rich_std
208,741.8676771,-0.333018991,0.369559974,1,rich_rich_rich - rich_std_rich
228,741.8676771,2.823063414,0.002378358,0.71350743,rich_rich_rich - rich_std_std
249,741.8676771,5.162760777,1.22E-07,3.65E-05,rich_rich_rich - std
271,741.8676771,5.362405268,4.11E-08,1.23E-05,rich_rich_rich - std_std
294,741.8676771,2.467803209,0.006797252,1,rich_rich_rich - std_std_std
190,741.8676771,1.239564528,0.107568254,1,rich_rich_std - rich_std
209,741.8676771,-3.404819054,0.00033104,0.099311862,rich_rich_std - rich_std_rich
229,741.8676771,-0.57715731,0.281916596,1,rich_rich_std - rich_std_std
250,741.8676771,1.222405632,0.110777135,1,rich_rich_std - std
272,741.8676771,1.934225417,0.026542709,1,rich_rich_std - std_std
295,741.8676771,-0.430876335,0.333279146,1,rich_rich_std - std_std_std
210,741.8676771,-4.375877229,6.05E-06,0.001814176,rich_std - rich_std_rich
230,741.8676771,-1.756860367,0.039470806,1,rich_std - rich_std_std
251,741.8676771,-0.251313358,0.400785924,1,rich_std - std
273,741.8676771,0.626429829,0.265516525,1,rich_std - std_std
296,741.8676771,-1.444560941,0.074290625,1,rich_std - std_std_std
231,741.8676771,2.825035393,0.00236377,0.709130906,rich_std_rich - rich_std_std
252,741.8676771,4.747129892,1.03E-06,0.000309485,rich_std_rich - std
274,741.8676771,5.039537895,2.33E-07,7.00E-05,rich_std_rich - std_std
297,741.8676771,2.539836237,0.005545219,1,rich_std_rich - std_std_std
253,741.8676771,1.825527377,0.033960742,1,rich_std_std - std
275,741.8676771,2.443151666,0.007279809,1,rich_std_std - std_std
298,741.8676771,0.056223317,0.477581953,1,rich_std_std - std_std_std
276,741.8676771,1.014468415,0.155179647,1,std - std_std
299,741.8676771,-1.418725965,0.077989462,1,std - std_std_std
300,741.8676771,-2.010164775,0.022206876,1,std_std - std_std_std
