,chi2,Z,P,P.adjusted,comparisons
144,367.0079763,-0.044862599,0.482108414,1,poor_rich_rich - rich_rich_rich
145,367.0079763,-4.456984394,4.16E-06,0.00124681,poor_std - rich_rich_rich
146,367.0079763,-4.729118959,1.13E-06,0.000338244,poor_std_poor - rich_rich_rich
147,367.0079763,-2.139788943,0.016185914,1,poor_std_std - rich_rich_rich
148,367.0079763,-0.935465343,0.174774268,1,rich - rich_rich_rich
149,367.0079763,-5.186675788,1.07E-07,3.21E-05,rich_poor - rich_rich_rich
150,367.0079763,-6.629804093,1.68E-11,5.04E-09,rich_poor_poor - rich_rich_rich
151,367.0079763,0.381110189,0.351560744,1,rich_poor_rich - rich_rich_rich
152,367.0079763,-0.37558942,0.353611079,1,rich_rich - rich_rich_rich
153,367.0079763,-4.573497231,2.40E-06,0.000719475,rich_rich_poor - rich_rich_rich
154,367.0079763,-6.397923849,7.88E-11,2.36E-08,poor - rich_rich_std
155,367.0079763,-4.854324002,6.04E-07,0.000181197,poor_poor - rich_rich_std
156,367.0079763,-4.146542292,1.69E-05,0.005063008,poor_poor_poor - rich_rich_std
157,367.0079763,3.206705818,0.000671321,0.201396332,poor_poor_rich - rich_rich_std
158,367.0079763,-0.422360594,0.336380918,1,poor_poor_std - rich_rich_std
159,367.0079763,1.860579189,0.031401813,1,poor_rich - rich_rich_std
160,367.0079763,-3.591595899,0.00016433,0.049298879,poor_rich_poor - rich_rich_std
161,367.0079763,2.541772371,0.005514599,1,poor_rich_rich - rich_rich_std
162,367.0079763,-1.810088017,0.035141069,1,poor_std - rich_rich_std
163,367.0079763,-2.340052455,0.009640516,1,poor_std_poor - rich_rich_std
164,367.0079763,0.338804689,0.367378434,1,poor_std_std - rich_rich_std
165,367.0079763,2.250788256,0.012199476,1,rich - rich_rich_std
166,367.0079763,-3.272109691,0.000533741,0.160122227,rich_poor - rich_rich_std
167,367.0079763,-3.786367963,7.64E-05,0.022929789,rich_poor_poor - rich_rich_std
168,367.0079763,3.192448554,0.00070536,0.211608109,rich_poor_rich - rich_rich_std
169,367.0079763,2.508661814,0.006059472,1,rich_rich - rich_rich_std
170,367.0079763,-1.86930743,0.030790028,1,rich_rich_poor - rich_rich_std
171,367.0079763,2.748354275,0.002994763,0.898428795,rich_rich_rich - rich_rich_std
172,367.0079763,-4.806454145,7.68E-07,0.000230446,poor - rich_std
173,367.0079763,-3.467024636,0.000263127,0.078938048,poor_poor - rich_std
174,367.0079763,-2.964726772,0.001514759,0.4544278,poor_poor_poor - rich_std
175,367.0079763,4.100657828,2.06E-05,0.00617966,poor_poor_rich - rich_std
176,367.0079763,0.636847654,0.262112041,1,poor_poor_std - rich_std
177,367.0079763,2.998014659,0.001358723,0.407616904,poor_rich - rich_std
178,367.0079763,-2.452051848,0.00710221,1,poor_rich_poor - rich_std
179,367.0079763,3.568651955,0.000179411,0.053823408,poor_rich_rich - rich_std
180,367.0079763,-0.524608367,0.299927734,1,poor_std - rich_std
181,367.0079763,-1.155649783,0.123912218,1,poor_std_poor - rich_std
182,367.0079763,1.435658144,0.075549821,1,poor_std_std - rich_std
183,367.0079763,3.480542053,0.0002502,0.075060039,rich - rich_std
184,367.0079763,-2.301023701,0.010695146,1,rich_poor - rich_std
185,367.0079763,-2.272726707,0.011521327,1,rich_poor_poor - rich_std
186,367.0079763,4.251671334,1.06E-05,0.003182716,rich_poor_rich - rich_std
187,367.0079763,3.630334503,0.000141527,0.042458123,rich_rich - rich_std
188,367.0079763,-0.552371446,0.290346945,1,rich_rich_poor - rich_std
189,367.0079763,3.814633729,6.82E-05,0.02045776,rich_rich_rich - rich_std
190,367.0079763,1.225409976,0.110210395,1,rich_rich_std - rich_std
191,367.0079763,-9.341358269,4.76E-21,1.43E-18,poor - rich_std_rich
192,367.0079763,-7.901411254,1.38E-15,4.14E-13,poor_poor - rich_std_rich
193,367.0079763,-7.044351011,9.32E-13,2.79E-10,poor_poor_poor - rich_std_rich
194,367.0079763,-0.431427587,0.333078747,1,poor_poor_rich - rich_std_rich
195,367.0079763,-3.768128624,8.22E-05,0.024671393,poor_poor_std - rich_std_rich
196,367.0079763,-2.339048985,0.009666449,1,poor_rich - rich_std_rich
197,367.0079763,-6.513593483,3.67E-11,1.10E-08,poor_rich_poor - rich_std_rich
198,367.0079763,-1.466791972,0.071216327,1,poor_rich_rich - rich_std_rich
199,367.0079763,-5.350250112,4.39E-08,1.32E-05,poor_std - rich_std_rich
200,367.0079763,-5.570958773,1.27E-08,3.80E-06,poor_std_poor - rich_std_rich
201,367.0079763,-3.285010096,0.000509894,0.152968076,poor_std_std - rich_std_rich
202,367.0079763,-2.438682812,0.00737045,1,rich - rich_std_rich
203,367.0079763,-5.933309799,1.48E-09,4.45E-07,rich_poor - rich_std_rich
204,367.0079763,-7.209187941,2.81E-13,8.44E-11,rich_poor_poor - rich_std_rich
205,367.0079763,-1.18703067,0.117607762,1,rich_poor_rich - rich_std_rich
206,367.0079763,-1.868945144,0.030815223,1,rich_rich - rich_std_rich
207,367.0079763,-5.454445073,2.46E-08,7.37E-06,rich_rich_poor - rich_std_rich
208,367.0079763,-1.492798834,0.067744926,1,rich_rich_rich - rich_std_rich
209,367.0079763,-3.880085546,5.22E-05,0.01566296,rich_rich_std - rich_std_rich
210,367.0079763,-4.784028021,8.59E-07,0.000257725,rich_std - rich_std_rich
211,367.0079763,-6.390342407,8.28E-11,2.48E-08,poor - rich_std_std
212,367.0079763,-4.859736741,5.88E-07,0.000176313,poor_poor - rich_std_std
213,367.0079763,-4.157733982,1.61E-05,0.0048213,poor_poor_poor - rich_std_std
214,367.0079763,3.162175646,0.000782975,0.234892618,poor_poor_rich - rich_std_std
215,367.0079763,-0.451424908,0.325841667,1,poor_poor_std - rich_std_std
216,367.0079763,1.809922563,0.035153898,1,poor_rich - rich_std_std
217,367.0079763,-3.605433807,0.000155816,0.046744788,poor_rich_poor - rich_std_std
218,367.0079763,2.492270425,0.006346468,1,poor_rich_rich - rich_std_std
219,367.0079763,-1.834349449,0.033301069,1,poor_std - rich_std_std
220,367.0079763,-2.360192549,0.009132726,1,poor_std_poor - rich_std_std
221,367.0079763,0.303599471,0.380716527,1,poor_std_std - rich_std_std
222,367.0079763,2.187917535,0.014337805,1,rich - rich_std_std
223,367.0079763,-3.287063079,0.000506191,0.151857231,rich_poor - rich_std_std
224,367.0079763,-3.796452349,7.34E-05,0.022017234,rich_poor_poor - rich_std_std
225,367.0079763,3.132916386,0.000865394,0.25961811,rich_poor_rich - rich_std_std
226,367.0079763,2.451737906,0.007108409,1,rich_rich - rich_std_std
227,367.0079763,-1.893441113,0.029149616,1,rich_rich_poor - rich_std_std
228,367.0079763,2.693437496,0.00353597,1,rich_rich_rich - rich_std_std
229,367.0079763,-0.037058345,0.485219242,1,rich_rich_std - rich_std_std
230,367.0079763,-1.25295382,0.105111257,1,rich_std - rich_std_std
231,367.0079763,3.829124546,6.43E-05,0.019289987,rich_std_rich - rich_std_std
232,367.0079763,-7.389308387,7.38E-14,2.21E-11,poor - std
233,367.0079763,-5.477914142,2.15E-08,6.46E-06,poor_poor - std
234,367.0079763,-4.540916246,2.80E-06,0.000840154,poor_poor_poor - std
235,367.0079763,3.493651073,0.000238232,0.071469497,poor_poor_rich - std
236,367.0079763,-0.467157786,0.320193497,1,poor_poor_std - std
237,367.0079763,2.143306011,0.016044267,1,poor_rich - std
238,367.0079763,-3.919893642,4.43E-05,0.013288208,poor_rich_poor - std
239,367.0079763,2.854777725,0.002153348,0.646004381,poor_rich_rich - std
240,367.0079763,-2.06575812,0.019425662,1,poor_std - std
241,367.0079763,-2.59779489,0.004691226,1,poor_std_poor - std
242,367.0079763,0.374153861,0.354144924,1,poor_std_std - std
243,367.0079763,2.726539271,0.003200117,0.960035042,rich - std
244,367.0079763,-3.488949946,0.000242461,0.072738292,rich_poor - std
245,367.0079763,-4.442244752,4.45E-06,0.001335378,rich_poor_poor - std
246,367.0079763,3.672969048,0.000119874,0.03596228,rich_poor_rich - std
247,367.0079763,2.914337351,0.001782222,0.534666741,rich_rich - std
248,367.0079763,-2.148065015,0.015854295,1,rich_rich_poor - std
249,367.0079763,3.140771492,0.000842517,0.252755173,rich_rich_rich - std
250,367.0079763,-0.004247157,0.498305635,1,rich_rich_std - std
251,367.0079763,-1.389381892,0.082358327,1,rich_std - std
252,367.0079763,4.270975836,9.73E-06,0.002919292,rich_std_rich - std
253,367.0079763,0.038292457,0.484727252,1,rich_std_std - std
254,367.0079763,-7.368633897,8.62E-14,2.59E-11,poor - std_std
255,367.0079763,-5.715019495,5.48E-09,1.65E-06,poor_poor - std_std
256,367.0079763,-4.881934471,5.25E-07,0.000157575,poor_poor_poor - std_std
257,367.0079763,2.577679033,0.004973317,1,poor_poor_rich - std_std
258,367.0079763,-1.121491157,0.131039427,1,poor_poor_std - std_std
259,367.0079763,1.05353055,0.14604895,1,poor_rich - std_std
260,367.0079763,-4.305624432,8.33E-06,0.00249773,poor_rich_poor - std_std
261,367.0079763,1.813115383,0.034907014,1,poor_rich_rich - std_std
262,367.0079763,-2.65052854,0.004018297,1,poor_std - std_std
263,367.0079763,-3.100165967,0.000967061,0.290118351,poor_std_poor - std_std
264,367.0079763,-0.400849697,0.344265393,1,poor_std_std - std_std
265,367.0079763,1.345672452,0.089204087,1,rich - std_std
266,367.0079763,-3.879574533,5.23E-05,0.0156959,rich_poor - std_std
267,367.0079763,-4.751224938,1.01E-06,0.000303282,rich_poor_poor - std_std
268,367.0079763,2.416536897,0.007834469,1,rich_poor_rich - std_std
269,367.0079763,1.69628344,0.044916108,1,rich_rich - std_std
270,367.0079763,-2.731526732,0.003152081,0.945624398,rich_rich_poor - std_std
271,367.0079763,1.979353237,0.023888125,1,rich_rich_rich - std_std
272,367.0079763,-0.832603425,0.202534213,1,rich_rich_std - std_std
273,367.0079763,-2.032829978,0.021034852,1,rich_std - std_std
274,367.0079763,3.229127991,0.000620842,0.186252465,rich_std_rich - std_std
275,367.0079763,-0.788897139,0.215086064,1,rich_std_std - std_std
276,367.0079763,-0.958673813,0.168861547,1,std - std_std
277,367.0079763,-6.933553397,2.05E-12,6.16E-10,poor - std_std_std
278,367.0079763,-5.603831209,1.05E-08,3.14E-06,poor_poor - std_std_std
279,367.0079763,-4.951567459,3.68E-07,0.000110427,poor_poor_poor - std_std_std
280,367.0079763,1.702419254,0.044338402,1,poor_poor_rich - std_std_std
281,367.0079763,-1.610817068,0.0536098,1,poor_poor_std - std_std_std
282,367.0079763,0.174549236,0.43071692,1,poor_rich - std_std_std
283,367.0079763,-4.444567293,4.40E-06,0.001321034,poor_rich_poor - std_std_std
284,367.0079763,0.899314492,0.184242585,1,poor_rich_rich - std_std_std
285,367.0079763,-2.956880639,0.001553842,0.46615259,poor_std - std_std_std
286,367.0079763,-3.359319085,0.000390674,0.117202189,poor_std_poor - std_std_std
287,367.0079763,-1.00140747,0.158314927,1,poor_std_std - std_std_std
288,367.0079763,0.307176162,0.379354644,1,rich - std_std_std
289,367.0079763,-4.089123266,2.17E-05,0.006495101,rich_poor - std_std_std
290,367.0079763,-4.694202468,1.34E-06,0.000401473,rich_poor_poor - std_std_std
291,367.0079763,1.332129536,0.091408813,1,rich_poor_rich - std_std_std
292,367.0079763,0.694647388,0.243638153,1,rich_rich - std_std_std
293,367.0079763,-3.022989632,0.001251454,0.375436227,rich_rich_poor - std_std_std
294,367.0079763,0.983510532,0.162678117,1,rich_rich_rich - std_std_std
295,367.0079763,-1.413145236,0.078806512,1,rich_rich_std - std_std_std
296,367.0079763,-2.427985539,0.007591474,1,rich_std - std_std_std
297,367.0079763,2.227753848,0.012948467,1,rich_std_rich - std_std_std
298,367.0079763,-1.3738245,0.084748087,1,rich_std_std - std_std_std
299,367.0079763,-1.558233271,0.05958898,1,std - std_std_std
300,367.0079763,-0.71784854,0.23642534,1,std_std - std_std_std
