,chi2,Z,P,P.adjusted,comparisons
86,240.5807105,2.777502286,0.002738923,0.821676822,PRR - RPP
99,240.5807105,3.352397445,0.000400575,0.120172376,PRR - RPR
113,240.5807105,-2.180298087,0.014617686,1,PRR - RR
128,240.5807105,1.774891097,0.037957935,1,PRR - RRP
144,240.5807105,1.132973554,0.12861268,1,PRR - RRR
161,240.5807105,2.470089547,0.006753962,1,PRR - RRS
179,240.5807105,-1.143773242,0.126358845,1,PRR - RS
198,240.5807105,-1.931088188,0.026736074,1,PRR - RSR
218,240.5807105,-0.573620878,0.28311219,1,PRR - RSS
239,240.5807105,3.879058233,5.24E-05,0.015729248,PRR - S
261,240.5807105,1.824053453,0.034071996,1,PRR - SS
284,240.5807105,1.641085343,0.05038985,1,PRR - SSS
45,240.5807105,3.984531925,3.38E-05,0.01014199,PS - PSP
54,240.5807105,4.924667948,4.23E-07,0.000126756,PS - PSS
64,240.5807105,7.02022047,1.11E-12,3.32E-10,PS - R
75,240.5807105,1.835078437,0.033247034,1,PS - RP
87,240.5807105,5.131560574,1.44E-07,4.31E-05,PS - RPP
100,240.5807105,5.886431575,1.97E-09,5.92E-07,PS - RPR
114,240.5807105,0.505230156,0.306698596,1,PS - RR
129,240.5807105,4.28192817,9.26E-06,0.002779212,PS - RRP
145,240.5807105,3.677167582,0.000117919,0.035375717,PS - RRR
162,240.5807105,4.799105091,7.97E-07,0.000239064,PS - RRS
180,240.5807105,1.665849568,0.04787169,1,PS - RS
199,240.5807105,0.727700128,0.233398586,1,PS - RSR
219,240.5807105,2.031859108,0.021083961,1,PS - RSS
240,240.5807105,6.381107041,8.79E-11,2.64E-08,PS - S
262,240.5807105,4.281304017,9.29E-06,0.00278702,PS - SS
285,240.5807105,4.215527144,1.25E-05,0.003737931,PS - SSS
55,240.5807105,0.719138692,0.236027735,1,PSP - PSS
65,240.5807105,3.051294807,0.001139284,0.341785096,PSP - R
76,240.5807105,-2.124887498,0.016798001,1,PSP - RP
88,240.5807105,1.183690863,0.118267729,1,PSP - RPP
101,240.5807105,1.598520887,0.05496355,1,PSP - RPR
115,240.5807105,-3.74389939,9.06E-05,0.027177934,PSP - RR
130,240.5807105,0.122023999,0.451440006,1,PSP - RRP
146,240.5807105,-0.512577579,0.30412342,1,PSP - RRR
163,240.5807105,0.907758468,0.182002923,1,PSP - RRS
181,240.5807105,-2.829317931,0.002332367,0.699710001,PSP - RS
200,240.5807105,-3.492773261,0.000239016,0.071704833,PSP - RSR
220,240.5807105,-2.172217466,0.014919632,1,PSP - RSS
241,240.5807105,2.121069264,0.016957987,1,PSP - S
263,240.5807105,0.202614976,0.419717992,1,PSP - SS
286,240.5807105,-0.050540716,0.479845752,1,PSP - SSS
66,240.5807105,2.495945951,0.006281087,1,PSS - R
77,240.5807105,-2.954196109,0.001567424,0.470227091,PSS - RP
89,240.5807105,0.534055191,0.296651675,1,PSS - RPP
102,240.5807105,0.919623231,0.178884841,1,PSS - RPR
116,240.5807105,-4.753173117,1.00E-06,0.000300373,PSS - RR
131,240.5807105,-0.62429759,0.266216083,1,PSS - RRP
147,240.5807105,-1.302971637,0.096292222,1,PSS - RRR
164,240.5807105,0.253221135,0.400048668,1,PSS - RRS
182,240.5807105,-3.851696777,5.87E-05,0.017595332,PSS - RS
201,240.5807105,-4.476804629,3.79E-06,0.001136528,PSS - RSR
221,240.5807105,-3.068070768,0.001077228,0.323168386,PSS - RSS
