,chi2,Z,P,P.adjusted,comparisons
148,1086.096864,0.272336702,0.392681569,1,R - RRR
165,1086.096864,-7.910801851,1.28E-15,3.84E-13,R - RRS
183,1086.096864,-7.63669433,1.11E-14,3.34E-12,R - RS
202,1086.096864,0.03363433,0.486584373,1,R - RSR
222,1086.096864,-7.592402382,1.57E-14,4.71E-12,R - RSS
243,1086.096864,-8.164303256,1.62E-16,4.85E-14,R - S
265,1086.096864,-8.389056387,2.45E-17,7.35E-15,R - SS
288,1086.096864,-6.198547853,2.85E-10,8.55E-08,R - SSS
91,1086.096864,3.023727361,0.001248407,0.374522007,RP - RPP
104,1086.096864,11.2852664,7.76E-30,2.33E-27,RP - RPR
118,1086.096864,11.65906649,1.03E-31,3.09E-29,RP - RR
133,1086.096864,5.134542703,1.41E-07,4.24E-05,RP - RRP
149,1086.096864,10.73025179,3.67E-27,1.10E-24,RP - RRR
166,1086.096864,4.403417823,5.33E-06,0.00159838,RP - RRS
184,1086.096864,4.410074508,5.17E-06,0.001550026,RP - RS
203,1086.096864,9.881870519,2.49E-23,7.48E-21,RP - RSR
223,1086.096864,4.271069305,9.73E-06,0.002918069,RP - RSS
244,1086.096864,5.950439048,1.34E-09,4.01E-07,RP - S
266,1086.096864,4.217545244,1.23E-05,0.003704644,RP - SS
289,1086.096864,3.809864183,6.95E-05,0.020856473,RP - SSS
105,1086.096864,10.06876571,3.80E-24,1.14E-21,RPP - RPR
119,1086.096864,10.54986023,2.54E-26,7.63E-24,RPP - RR
134,1086.096864,2.597151254,0.004700026,1,RPP - RRP
150,1086.096864,9.419655968,2.26E-21,6.79E-19,RPP - RRR
167,1086.096864,1.838175779,0.033018254,1,RPP - RRS
185,1086.096864,1.885969331,0.029649544,1,RPP - RS
204,1086.096864,8.41195555,2.02E-17,6.05E-15,RPP - RSR
224,1086.096864,1.753652157,0.039745064,1,RPP - RSS
245,1086.096864,3.485054351,0.000246019,0.073805563,RPP - S
267,1086.096864,1.577429338,0.057348385,1,RPP - SS
290,1086.096864,1.548384123,0.060764921,1,RPP - SSS
120,1086.096864,-0.058804682,0.47655384,1,RPR - RR
135,1086.096864,-7.78517811,3.48E-15,1.04E-12,RPR - RRP
151,1086.096864,-0.758958389,0.223938725,1,RPR - RRR
168,1086.096864,-7.843899746,2.18E-15,6.55E-13,RPR - RRS
186,1086.096864,-7.628847882,1.18E-14,3.55E-12,RPR - RS
205,1086.096864,-0.895953978,0.185138672,1,RPR - RSR
225,1086.096864,-7.607000948,1.40E-14,4.21E-12,RPR - RSS
246,1086.096864,-7.829990578,2.44E-15,7.32E-13,RPR - S
268,1086.096864,-8.232530921,9.16E-17,2.75E-14,RPR - SS
291,1086.096864,-6.471767252,4.84E-11,1.45E-08,RPR - SSS
136,1086.096864,-8.142236582,1.94E-16,5.82E-14,RR - RRP
152,1086.096864,-0.733358455,0.231669916,1,RR - RRR
169,1086.096864,-8.157004339,1.72E-16,5.15E-14,RR - RRS
187,1086.096864,-7.919402289,1.19E-15,3.58E-13,RR - RS
206,1086.096864,-0.875277485,0.190711471,1,RR - RSR
226,1086.096864,-7.886748121,1.55E-15,4.65E-13,RR - RSS
247,1086.096864,-8.256512458,7.50E-17,2.25E-14,RR - S
269,1086.096864,-8.576603897,4.89E-18,1.47E-15,RR - SS
292,1086.096864,-6.63132356,1.66E-11,4.99E-09,RR - SSS
153,1086.096864,7.091937965,6.61E-13,1.98E-10,RRP - RRR
170,1086.096864,-0.569447871,0.284526119,1,RRP - RRS
188,1086.096864,-0.469548989,0.319338639,1,RRP - RS
207,1086.096864,6.281773306,1.67E-10,5.02E-08,RRP - RSR
227,1086.096864,-0.559691609,0.287844903,1,RRP - RSS
248,1086.096864,0.627230951,0.265253929,1,RRP - S
270,1086.096864,-0.878134794,0.189935287,1,RRP - SS
293,1086.096864,-0.385500542,0.349933303,1,RRP - SSS
171,1086.096864,-7.184852383,3.36E-13,1.01E-10,RRR - RRS
189,1086.096864,-6.975773568,1.52E-12,4.56E-10,RRR - RS
208,1086.096864,-0.193030797,0.423467425,1,RRR - RSR
228,1086.096864,-6.961527106,1.68E-12,5.05E-10,RRR - RSS
249,1086.096864,-7.095941044,6.42E-13,1.93E-10,RRR - S
271,1086.096864,-7.571753448,1.84E-14,5.52E-12,RRR - SS
294,1086.096864,-5.890347818,1.93E-09,5.78E-07,RRR - SSS
190,1086.096864,0.082216308,0.467237353,1,RRS - RS
209,1086.096864,6.440367799,5.96E-11,1.79E-08,RRS - RSR
229,1086.096864,-0.011800071,0.495292562,1,RRS - RSS
250,1086.096864,1.190543045,0.116916511,1,RRS - S
272,1086.096864,-0.277727977,0.390610591,1,RRS - SS
295,1086.096864,0.068843951,0.472556917,1,RRS - SSS
210,1086.096864,6.267125102,1.84E-10,5.52E-08,RS - RSR
230,1086.096864,-0.091065533,0.46372026,1,RS - RSS
251,1086.096864,1.06580317,0.143256314,1,RS - S
273,1086.096864,-0.355848195,0.360977127,1,RS - SS
296,1086.096864,0,0.5,1,RS - SSS
231,1086.096864,-6.27007836,1.80E-10,5.41E-08,RSR - RSS
252,1086.096864,-6.187910761,3.05E-10,9.15E-08,RSR - S
274,1086.096864,-6.778237685,6.08E-12,1.82E-09,RSR - SS
297,1086.096864,-5.403149067,3.27E-08,9.82E-06,RSR - SSS
253,1086.096864,1.14978331,0.125116566,1,RSS - S
275,1086.096864,-0.255814452,0.399047057,1,RSS - SS
298,1086.096864,0.077012064,0.469306974,1,RSS - SSS
276,1086.096864,-1.542163389,0.061516947,1,S - SS
299,1086.096864,-0.852119923,0.197073768,1,S - SSS
300,1086.096864,0.296480006,0.383431767,1,SS - SSS
