generation	phenotype	value
PP	devL1A	10.5
PP	devL1LP	6.5
PP	devLPA	4
SS	mass	1.5
SS	eggsize	153.4543094681749
SS	ovarno	30.0
SS	winglength	1.916
SS	devL1A	9.5
SS	devL1LP	5.5
SS	devLPA	4
PS	mass	1.1
PS	eggsize	106.00262841973905
PS	winglength	1.916
PS	devL1A	8.5
PS	devL1LP	4.5
PS	devLPA	4
PS	mass	1.2
PS	eggsize	126.0990740210718
PS	ovarno	32.0
PS	winglength	1.919
PS	devL1A	10.5
PS	devL1LP	5.5
PS	devLPA	5
PP	mass	1.1
PP	eggsize	146.7498774963307
PP	winglength	1.919
PP	devL1A	11.5
PP	devL1LP	6.5
PP	devLPA	5
PP	mass	1.6
PP	eggsize	125.44077901206168
PP	ovarno	30.0
PP	winglength	1.925
PP	devL1A	11.5
PP	devL1LP	7.5
PP	devLPA	4
PS	mass	1.1
PS	eggsize	102.63022992636034
PS	winglength	1.927
PS	devL1A	9.5
PS	devL1LP	5.5
PS	devLPA	4
SS	mass	1.2
SS	eggsize	220.74926049249643
SS	winglength	1.927
SS	devL1A	9.5
SS	devL1LP	5.5
SS	devLPA	4
PP	mass	1.2
PP	eggsize	225.53536312832463
PP	ovarno	12.0
PP	winglength	1.93
PP	devL1A	15.5
PP	devL1LP	11.5
PP	devLPA	4
SS	mass	1.5
SS	eggsize	159.16573647053204
SS	winglength	1.93
SS	devL1A	9.5
SS	devL1LP	5.5
SS	devLPA	4
RP	mass	1.6
RP	eggsize	153.0508367671287
RP	winglength	1.932
RP	devL1A	10.5
RP	devL1LP	6.5
RP	devLPA	4
SS	mass	1.5
SS	eggsize	81.20757229282184
SS	ovarno	36.0
SS	winglength	1.933
SS	devL1A	9.5
SS	devL1LP	5.5
SS	devLPA	4
PS	mass	1.1
PS	eggsize	171.92880037327205
PS	ovarno	34.0
PS	winglength	1.934
PS	devL1A	9.5
PS	devL1LP	5.5
PS	devLPA	4
PS	mass	1.2
PS	eggsize	220.66598930369742
PS	winglength	1.934
PS	devL1A	10.5
PS	devL1LP	5.5
PS	devLPA	5
PP	mass	1.1
PP	eggsize	168.48071279936568
PP	ovarno	27.0
PP	winglength	1.936
PP	devL1A	11.5
PP	devL1LP	6.5
PP	devLPA	5
RS	mass	1.7
RS	eggsize	49.038798494725654
RS	winglength	1.936
RS	devL1A	9.5
RS	devL1LP	5.5
RS	devLPA	4
PP	mass	1.1
PP	eggsize	207.35881723523357
PP	ovarno	33.0
PP	winglength	1.938
PP	devL1A	10.5
PP	devL1LP	6.5
PP	devLPA	4
PP	mass	1.2
PP	eggsize	113.2793606463953
PP	ovarno	27.0
PP	winglength	1.939
PP	devL1A	12.5
PP	devL1LP	8.5
PP	devLPA	4
RS	mass	1.4
RS	eggsize	185.9531758426519
RS	winglength	1.939
RS	devL1A	9.5
RS	devL1LP	5.5
RS	devLPA	4
RP	mass	1.1
RP	eggsize	124.78108019773792
RP	ovarno	28.0
RP	winglength	1.944
RP	devL1A	15.5
RP	devL1LP	11.5
RP	devLPA	4
RS	mass	1.3
RS	eggsize	114.43692168947274
RS	winglength	1.944
RS	devL1A	9.5
RS	devL1LP	5.5
RS	devLPA	4
PP	mass	1.2
PP	eggsize	74.33366631052685
PP	ovarno	31.0
PP	winglength	1.945
PP	devL1A	10.5
PP	devL1LP	6.5
PP	devLPA	4
SS	mass	1.0
SS	eggsize	161.0252238568697
SS	ovarno	35.0
SS	winglength	1.945
SS	devL1A	10.5
SS	devL1LP	5.5
SS	devLPA	5
SS	mass	1.4
SS	eggsize	183.37627508544443
SS	ovarno	33.0
SS	winglength	1.946
SS	devL1A	10.5
SS	devL1LP	6.5
SS	devLPA	4
PR	mass	1.2
PR	eggsize	95.78061758263263
PR	winglength	1.946
PR	devL1A	8.5
PR	devL1LP	3.5
PR	devLPA	5
SS	mass	1.5
SS	eggsize	88.10036748893582
SS	ovarno	27.0
SS	winglength	1.947
SS	devL1A	9.5
SS	devL1LP	5.5
SS	devLPA	4
RS	mass	1.9
RS	eggsize	66.99072816415249
RS	ovarno	34.0
RS	winglength	1.947
RS	devL1A	9.5
RS	devL1LP	5.5
RS	devLPA	4
PS	mass	1.4
PS	eggsize	118.7936001752763
PS	ovarno	34.0
PS	winglength	1.95
PS	devL1A	9.5
PS	devL1LP	5.5
PS	devLPA	4
SS	mass	1.8
SS	eggsize	124.27056884231762
SS	winglength	1.95
SS	devL1A	9.5
SS	devL1LP	5.5
SS	devLPA	4
PP	mass	1.3
PP	eggsize	101.10740439802747
PP	winglength	1.952
PP	devL1A	12.5
PP	devL1LP	8.5
PP	devLPA	4
SS	mass	1.7
SS	eggsize	137.51588903414077
SS	ovarno	34.0
SS	winglength	1.953
SS	devL1A	9.5
SS	devL1LP	5.5
SS	devLPA	4
SS	mass	1.0
SS	eggsize	172.71253397174146
SS	ovarno	37.0
SS	winglength	1.953
SS	devL1A	9.5
SS	devL1LP	5.5
SS	devLPA	4
PP	mass	1.2
PP	eggsize	106.76727235874563
PP	winglength	1.953
PP	devL1A	10.5
PP	devL1LP	6.5
PP	devLPA	4
PP	mass	1.2
PP	eggsize	153.87606120784938
PP	winglength	1.954
PP	devL1A	10.5
PP	devL1LP	6.5
PP	devLPA	4
PS	mass	1.2
PS	eggsize	179.40175880013325
PS	winglength	1.954
PS	devL1A	10.5
PS	devL1LP	6.5
PS	devLPA	4
PS	mass	1.4
PS	eggsize	178.25879349034128
PS	winglength	1.954
PS	devL1A	10.5
PS	devL1LP	6.5
PS	devLPA	4
SS	mass	1.3
SS	eggsize	68.41477183803747
SS	ovarno	41.0
SS	winglength	1.955
SS	devL1A	10.5
SS	devL1LP	5.5
SS	devLPA	5
PS	mass	1.4
PS	eggsize	87.22040982134851
PS	winglength	1.955
PS	devL1A	9.5
PS	devL1LP	5.5
PS	devLPA	4
RP	mass	1.3
RP	eggsize	231.859773276675
RP	ovarno	31.0
RP	winglength	1.956
RP	devL1A	9.5
RP	devL1LP	5.5
RP	devLPA	4
PP	mass	1.6
PP	eggsize	101.96572029533203
PP	winglength	1.956
PP	devL1A	10.5
PP	devL1LP	6.5
PP	devLPA	4
PP	mass	1.1
PP	eggsize	174.9710987992745
PP	ovarno	25.0
PP	winglength	1.957
PP	devL1A	11.5
PP	devL1LP	7.5
PP	devLPA	4
RS	mass	0.8
RS	eggsize	166.08601431210298
RS	ovarno	34.0
RS	winglength	1.958
RS	devL1A	9.5
RS	devL1LP	5.5
RS	devLPA	4
RP	mass	1.4
RP	eggsize	116.53622732178874
RP	winglength	1.959
RP	devL1A	11.5
RP	devL1LP	6.5
RP	devLPA	5
RS	mass	1.9
RS	eggsize	158.92883652411751
RS	winglength	1.962
RS	devL1A	9.5
RS	devL1LP	5.5
RS	devLPA	4
PP	mass	1.1
PP	eggsize	183.5128714154897
PP	ovarno	32.0
PP	winglength	1.963
PP	devL1A	10.5
PP	devL1LP	6.5
PP	devLPA	4
PR	mass	1.9
PR	eggsize	171.79681344051585
PR	ovarno	34.0
PR	winglength	1.963
PR	devL1A	9.5
PR	devL1LP	4.5
PR	devLPA	5
SS	mass	1.6
SS	eggsize	173.35625481199537
SS	ovarno	38.0
SS	winglength	1.963
SS	devL1A	9.5
SS	devL1LP	5.5
SS	devLPA	4
SS	mass	1.0
SS	eggsize	140.16973023291177
SS	ovarno	37.0
SS	winglength	1.964
SS	devL1A	10.5
SS	devL1LP	5.5
SS	devLPA	5
RS	mass	1.5
RS	eggsize	78.49040179542963
RS	winglength	1.964
RS	devL1A	9.5
RS	devL1LP	5.5
RS	devLPA	4
SS	mass	2.1
SS	eggsize	173.75783294881998
SS	ovarno	32.0
SS	winglength	1.966
SS	devL1A	9.5
SS	devL1LP	5.5
SS	devLPA	4
PR	mass	2.0
PR	eggsize	185.48926407267416
PR	winglength	1.966
PR	devL1A	9.5
PR	devL1LP	5.5
PR	devLPA	4
SS	mass	1.1
SS	eggsize	189.30567863333218
SS	winglength	1.966
SS	devL1A	10.5
SS	devL1LP	5.5
SS	devLPA	5
SS	mass	1.6
SS	eggsize	187.57556684177075
SS	ovarno	41.0
SS	winglength	1.968
SS	devL1A	9.5
SS	devL1LP	5.5
SS	devLPA	4
PS	mass	1.4
PS	eggsize	140.62318858564933
PS	winglength	1.968
PS	devL1A	9.5
PS	devL1LP	4.5
PS	devLPA	5
RS	mass	1.7
RS	eggsize	219.99885471943958
RS	winglength	1.968
RS	devL1A	9.5
RS	devL1LP	5.5
RS	devLPA	4
RS	mass	1.2
RS	eggsize	176.7501324881421
RS	ovarno	33.0
RS	winglength	1.969
RS	devL1A	9.5
RS	devL1LP	5.5
RS	devLPA	4
RS	mass	1.4
RS	eggsize	146.7672800713285
RS	ovarno	35.0
RS	winglength	1.969
RS	devL1A	9.5
RS	devL1LP	5.5
RS	devLPA	4
PS	mass	1.4
PS	eggsize	192.91677451843725
PS	ovarno	37.0
PS	winglength	1.969
PS	devL1A	10.5
PS	devL1LP	5.5
PS	devLPA	5
PS	mass	1.5
PS	eggsize	122.77386898232133
PS	winglength	1.969
PS	devL1A	10.5
PS	devL1LP	6.5
PS	devLPA	4
RS	mass	1.8
RS	eggsize	60.868254469337074
RS	winglength	1.969
RS	devL1A	9.5
RS	devL1LP	5.5
RS	devLPA	4
PP	mass	1.2
PP	eggsize	130.27527582345894
PP	winglength	1.97
PP	devL1A	12.5
PP	devL1LP	8.5
PP	devLPA	4
PS	mass	1.3
PS	eggsize	234.7867480002465
PS	ovarno	31.0
PS	winglength	1.971
PS	devL1A	10.5
PS	devL1LP	6.5
PS	devLPA	4
PS	mass	1.7
PS	eggsize	168.06958915457975
PS	ovarno	37.0
PS	winglength	1.971
PS	devL1A	9.5
PS	devL1LP	5.5
PS	devLPA	4
RR	mass	1.8
RR	eggsize	196.65525472654747
RR	ovarno	37.0
RR	winglength	1.972
RR	devL1A	8.5
RR	devL1LP	3.5
RR	devLPA	5
SS	mass	1.5
SS	eggsize	79.91014492297394
SS	winglength	1.972
SS	devL1A	9.5
SS	devL1LP	5.5
SS	devLPA	4
RR	mass	1.9
RR	eggsize	176.9312719111835
RR	ovarno	38.0
RR	winglength	1.974
RR	devL1A	8.5
RR	devL1LP	4.5
RR	devLPA	4
PS	mass	1.8
PS	eggsize	181.15495369039115
PS	winglength	1.974
PS	devL1A	9.5
PS	devL1LP	5.5
PS	devLPA	4
PP	mass	1.3
PP	eggsize	112.54754906183342
PP	ovarno	32.0
PP	winglength	1.975
PP	devL1A	11.5
PP	devL1LP	6.5
PP	devLPA	5
PP	mass	1.6
PP	eggsize	186.72192133334656
PP	winglength	1.975
PP	devL1A	11.5
PP	devL1LP	7.5
PP	devLPA	4
RR	mass	1.5
RR	eggsize	169.17000756092654
RR	ovarno	48.0
RR	winglength	1.976
RR	devL1A	8.5
RR	devL1LP	3.5
RR	devLPA	5
PS	mass	1.5
PS	eggsize	155.51350866324418
PS	winglength	1.976
PS	devL1A	8.5
PS	devL1LP	4.5
PS	devLPA	4
RR	mass	1.6
RR	eggsize	139.562461465603
RR	ovarno	36.0
RR	winglength	1.977
RR	devL1A	8.5
RR	devL1LP	4.5
RR	devLPA	4
RR	mass	1.8
RR	eggsize	188.7817117732336
RR	winglength	1.977
RR	devL1A	8.5
RR	devL1LP	4.5
RR	devLPA	4
PS	mass	1.3
PS	eggsize	145.51359865510216
PS	ovarno	34.0
PS	winglength	1.978
PS	devL1A	9.5
PS	devL1LP	5.5
PS	devLPA	4
SS	mass	1.1
SS	eggsize	55.82375671569568
SS	ovarno	35.0
SS	winglength	1.978
SS	devL1A	10.5
SS	devL1LP	5.5
SS	devLPA	5
PR	mass	1.5
PR	eggsize	134.39620678231182
PR	ovarno	38.0
PR	winglength	1.978
PR	devL1A	8.5
PR	devL1LP	3.5
PR	devLPA	5
RS	mass	1.7
RS	eggsize	168.2611595120239
RS	winglength	1.978
RS	devL1A	9.5
RS	devL1LP	5.5
RS	devLPA	4
PS	mass	1.2
PS	eggsize	210.29186041904867
PS	ovarno	36.0
PS	winglength	1.979
PS	devL1A	8.5
PS	devL1LP	4.5
PS	devLPA	4
RR	mass	1.8
RR	eggsize	108.9800893721194
RR	ovarno	36.0
RR	winglength	1.979
RR	devL1A	8.5
RR	devL1LP	3.5
RR	devLPA	5
RR	mass	1.7
RR	eggsize	148.60228433472085
RR	ovarno	38.0
RR	winglength	1.979
RR	devL1A	9.5
RR	devL1LP	3.5
RR	devLPA	6
PR	mass	1.4
PR	eggsize	153.23336020897688
PR	winglength	1.979
PR	devL1A	8.5
PR	devL1LP	4.5
PR	devLPA	4
SS	mass	1.0
SS	eggsize	180.48628420540632
SS	winglength	1.98
SS	devL1A	10.5
SS	devL1LP	6.5
SS	devLPA	4
SS	mass	2.0
SS	eggsize	229.50569450416845
SS	ovarno	36.0
SS	winglength	1.981
SS	devL1A	9.5
SS	devL1LP	5.5
SS	devLPA	4
PP	mass	1.2
PP	eggsize	161.82776946750232
PP	ovarno	28.0
PP	winglength	1.982
PP	devL1A	10.5
PP	devL1LP	7.5
PP	devLPA	3
RS	mass	1.8
RS	eggsize	75.14767849401231
RS	ovarno	33.0
RS	winglength	1.982
RS	devL1A	9.5
RS	devL1LP	5.5
RS	devLPA	4
RR	mass	1.4
RR	eggsize	136.01047318428903
RR	winglength	1.982
RR	devL1A	8.5
RR	devL1LP	4.5
RR	devLPA	4
RS	mass	1.2
RS	eggsize	131.83641224586438
RS	ovarno	33.0
RS	winglength	1.983
RS	devL1A	9.5
RS	devL1LP	5.5
RS	devLPA	4
RR	mass	1.8
RR	eggsize	174.76947979535174
RR	ovarno	34.0
RR	winglength	1.983
RR	devL1A	8.5
RR	devL1LP	4.5
RR	devLPA	4
PS	mass	1.7
PS	eggsize	204.2149085828438
PS	ovarno	29.0
PS	winglength	1.984
PS	devL1A	9.5
PS	devL1LP	5.5
PS	devLPA	4
PP	mass	1.4
PP	eggsize	176.2939230866566
PP	ovarno	27.0
PP	winglength	1.985
PP	devL1A	12.5
PP	devL1LP	8.5
PP	devLPA	4
PR	mass	1.2
PR	eggsize	29.046235556878287
PR	winglength	1.985
PR	devL1A	8.5
PR	devL1LP	3.5
PR	devLPA	5
RR	mass	1.6
RR	eggsize	110.50729716389938
RR	winglength	1.985
RR	devL1A	8.5
RR	devL1LP	4.5
RR	devLPA	4
PS	mass	1.6
PS	eggsize	170.59199977490596
PS	ovarno	37.0
PS	winglength	1.986
PS	devL1A	8.5
PS	devL1LP	4.5
PS	devLPA	4
SS	mass	2.0
SS	eggsize	170.43421614033147
SS	winglength	1.986
SS	devL1A	9.5
SS	devL1LP	5.5
SS	devLPA	4
PS	mass	1.2
PS	eggsize	95.1355855042058
PS	winglength	1.987
PS	devL1A	8.5
PS	devL1LP	5.5
PS	devLPA	3
SS	mass	2.0
SS	eggsize	72.7320187927386
SS	winglength	1.987
SS	devL1A	9.5
SS	devL1LP	5.5
SS	devLPA	4
SS	mass	1.7
SS	eggsize	144.17620575761984
SS	ovarno	36.0
SS	winglength	1.988
SS	devL1A	9.5
SS	devL1LP	5.5
SS	devLPA	4
PP	mass	1.2
PP	eggsize	306.3978646793379
PP	ovarno	33.0
PP	winglength	1.989
PP	devL1A	11.5
PP	devL1LP	7.5
PP	devLPA	4
PS	mass	1.1
PS	eggsize	147.58940555806493
PS	winglength	1.989
PS	devL1A	8.5
PS	devL1LP	5.5
PS	devLPA	3
RR	mass	2.0
RR	eggsize	149.6833712266096
RR	ovarno	30.0
RR	winglength	1.99
RR	devL1A	8.5
RR	devL1LP	3.5
RR	devLPA	5
RS	mass	1.7
RS	eggsize	179.08149100106405
RS	ovarno	32.0
RS	winglength	1.99
RS	devL1A	9.5
RS	devL1LP	5.5
RS	devLPA	4
RS	mass	1.1
RS	eggsize	198.1155392280737
RS	ovarno	34.0
RS	winglength	1.99
RS	devL1A	10.5
RS	devL1LP	5.5
RS	devLPA	5
SS	mass	1.7
SS	eggsize	126.32779452930549
SS	ovarno	36.0
SS	winglength	1.99
SS	devL1A	9.5
SS	devL1LP	5.5
SS	devLPA	4
PR	mass	1.3
PR	eggsize	118.35650514120499
PR	ovarno	42.0
PR	winglength	1.99
PR	devL1A	8.5
PR	devL1LP	3.5
PR	devLPA	5
PS	mass	1.4
PS	eggsize	77.82081196972779
PS	winglength	1.99
PS	devL1A	9.5
PS	devL1LP	5.5
PS	devLPA	4
SS	mass	1.5
SS	eggsize	44.94848996091466
SS	winglength	1.99
SS	devL1A	10.5
SS	devL1LP	5.5
SS	devLPA	5
SS	mass	1.7
SS	eggsize	252.99890873948453
SS	ovarno	39.0
SS	winglength	1.992
SS	devL1A	9.5
SS	devL1LP	5.5
SS	devLPA	4
SS	mass	1.0
SS	eggsize	135.6792968460413
SS	ovarno	49.0
SS	winglength	1.992
SS	devL1A	9.5
SS	devL1LP	5.5
SS	devLPA	4
PS	mass	1.8
PS	eggsize	211.6708091788968
PS	ovarno	34.0
PS	winglength	1.993
PS	devL1A	9.5
PS	devL1LP	5.5
PS	devLPA	4
PR	mass	1.3
PR	eggsize	147.82457766239287
PR	winglength	1.993
PR	devL1A	8.5
PR	devL1LP	4.5
PR	devLPA	4
PP	mass	1.1
PP	eggsize	179.64586009363694
PP	ovarno	30.0
PP	winglength	1.995
PP	devL1A	10.5
PP	devL1LP	6.5
PP	devLPA	4
SS	mass	1.8
SS	eggsize	125.34520443334938
SS	ovarno	38.0
SS	winglength	1.995
SS	devL1A	9.5
SS	devL1LP	5.5
SS	devLPA	4
RR	mass	1.6
RR	eggsize	112.8035423852435
RR	ovarno	38.0
RR	winglength	1.996
RR	devL1A	8.5
RR	devL1LP	3.5
RR	devLPA	5
RR	mass	1.3
RR	eggsize	41.420372812271495
RR	ovarno	32.0
RR	winglength	1.997
RR	devL1A	8.5
RR	devL1LP	3.5
RR	devLPA	5
PS	mass	1.2
PS	eggsize	80.4641862965652
PS	ovarno	35.0
PS	winglength	1.997
PS	devL1A	8.5
PS	devL1LP	4.5
PS	devLPA	4
SS	mass	1.6
SS	eggsize	147.71205431062447
SS	ovarno	39.0
SS	winglength	1.997
SS	devL1A	9.5
SS	devL1LP	5.5
SS	devLPA	4
PP	mass	1.5
PP	eggsize	145.4523648691228
PP	ovarno	29.0
PP	winglength	1.998
PP	devL1A	11.5
PP	devL1LP	7.5
PP	devLPA	4
RR	mass	1.7
RR	eggsize	117.4893406407903
RR	ovarno	34.0
RR	winglength	1.998
RR	devL1A	8.5
RR	devL1LP	3.5
RR	devLPA	5
RR	mass	1.5
RR	eggsize	180.7185086948296
RR	ovarno	46.0
RR	winglength	1.998
RR	devL1A	8.5
RR	devL1LP	4.5
RR	devLPA	4
RS	mass	1.7
RS	eggsize	197.82376958970167
RS	winglength	1.998
RS	devL1A	9.5
RS	devL1LP	5.5
RS	devLPA	4
RP	mass	1.3
RP	eggsize	142.14939851259658
RP	ovarno	35.0
RP	winglength	1.999
RP	devL1A	10.5
RP	devL1LP	6.5
RP	devLPA	4
PR	mass	1.6
PR	eggsize	118.46839172758916
PR	ovarno	38.0
PR	winglength	1.999
PR	devL1A	8.5
PR	devL1LP	4.5
PR	devLPA	4
RR	mass	1.9
RR	eggsize	164.2688311571941
RR	winglength	1.999
RR	devL1A	8.5
RR	devL1LP	3.5
RR	devLPA	5
PS	mass	1.4
PS	eggsize	130.37023309543994
PS	ovarno	36.0
PS	winglength	2.0
PS	devL1A	10.5
PS	devL1LP	6.5
PS	devLPA	4
RR	mass	1.5
RR	eggsize	218.58043366768317
RR	ovarno	38.0
RR	winglength	2.0
RR	devL1A	8.5
RR	devL1LP	4.5
RR	devLPA	4
RR	mass	2.0
RR	eggsize	144.73190780757395
RR	ovarno	43.0
RR	winglength	2.0
RR	devL1A	8.5
RR	devL1LP	3.5
RR	devLPA	5
PP	mass	1.3
PP	eggsize	111.22388897785588
PP	ovarno	31.0
PP	winglength	2.001
PP	devL1A	10.5
PP	devL1LP	6.5
PP	devLPA	4
PP	mass	1.4
PP	eggsize	66.50433897853644
PP	ovarno	32.0
PP	winglength	2.001
PP	devL1A	10.5
PP	devL1LP	6.5
PP	devLPA	4
RS	mass	1.9
RS	eggsize	166.49322582642318
RS	ovarno	35.0
RS	winglength	2.001
RS	devL1A	9.5
RS	devL1LP	5.5
RS	devLPA	4
PR	mass	1.3
PR	eggsize	130.72372332270066
PR	winglength	2.001
PR	devL1A	7.5
PR	devL1LP	3.5
PR	devLPA	4
RS	mass	1.5
RS	eggsize	154.42368706119044
RS	ovarno	36.0
RS	winglength	2.002
RS	devL1A	9.5
RS	devL1LP	5.5
RS	devLPA	4
SS	mass	1.6
SS	eggsize	72.0540929432345
SS	ovarno	39.0
SS	winglength	2.002
SS	devL1A	9.5
SS	devL1LP	5.5
SS	devLPA	4
SS	mass	1.5
SS	eggsize	179.24054915114579
SS	winglength	2.002
SS	devL1A	9.5
SS	devL1LP	5.5
SS	devLPA	4
RS	mass	1.8
RS	eggsize	114.00653591632886
RS	winglength	2.003
RS	devL1A	9.5
RS	devL1LP	5.5
RS	devLPA	4
RR	mass	2.1
RR	eggsize	176.9403456945913
RR	ovarno	34.0
RR	winglength	2.004
RR	devL1A	8.5
RR	devL1LP	3.5
RR	devLPA	5
PR	mass	1.5
PR	eggsize	121.97822421316707
PR	ovarno	36.0
PR	winglength	2.004
PR	devL1A	7.5
PR	devL1LP	3.5
PR	devLPA	4
RS	mass	1.4
RS	eggsize	168.26160524718523
RS	ovarno	40.0
RS	winglength	2.004
RS	devL1A	9.5
RS	devL1LP	5.5
RS	devLPA	4
PS	mass	1.5
PS	eggsize	107.3170328237502
PS	winglength	2.004
PS	devL1A	9.5
PS	devL1LP	4.5
PS	devLPA	5
SS	mass	1.5
SS	eggsize	135.78077712824978
SS	winglength	2.004
SS	devL1A	10.5
SS	devL1LP	5.5
SS	devLPA	5
PR	mass	1.7
PR	eggsize	150.05935038190165
PR	ovarno	34.0
PR	winglength	2.005
PR	devL1A	8.5
PR	devL1LP	4.5
PR	devLPA	4
RS	mass	1.3
RS	eggsize	164.37494978776812
RS	ovarno	35.0
RS	winglength	2.005
RS	devL1A	9.5
RS	devL1LP	5.5
RS	devLPA	4
RS	mass	1.9
RS	eggsize	233.67682197346883
RS	ovarno	37.0
RS	winglength	2.005
RS	devL1A	9.5
RS	devL1LP	5.5
RS	devLPA	4
PR	mass	1.4
PR	eggsize	249.83084122845162
PR	ovarno	38.0
PR	winglength	2.005
PR	devL1A	8.5
PR	devL1LP	3.5
PR	devLPA	5
RS	mass	1.3
RS	eggsize	213.48119722432273
RS	winglength	2.006
RS	devL1A	10.5
RS	devL1LP	5.5
RS	devLPA	5
PS	mass	1.2
PS	eggsize	152.80516097529062
PS	ovarno	38.0
PS	winglength	2.007
PS	devL1A	9.5
PS	devL1LP	4.5
PS	devLPA	5
RR	mass	1.3
RR	eggsize	35.494105769560846
RR	ovarno	40.0
RR	winglength	2.007
RR	devL1A	8.5
RR	devL1LP	3.5
RR	devLPA	5
SS	mass	1.7
SS	eggsize	181.77222179080212
SS	ovarno	43.0
SS	winglength	2.007
SS	devL1A	9.5
SS	devL1LP	5.5
SS	devLPA	4
PS	mass	1.3
PS	eggsize	94.40230597902809
PS	ovarno	35.0
PS	winglength	2.008
PS	devL1A	8.5
PS	devL1LP	5.5
PS	devLPA	3
RR	mass	1.9
RR	eggsize	128.98838937262232
RR	ovarno	42.0
RR	winglength	2.008
RR	devL1A	7.5
RR	devL1LP	3.5
RR	devLPA	4
PS	mass	2.0
PS	eggsize	133.213455609067
PS	winglength	2.008
PS	devL1A	9.5
PS	devL1LP	5.5
PS	devLPA	4
RR	mass	1.6
RR	eggsize	60.74800386751829
RR	winglength	2.008
RR	devL1A	8.5
RR	devL1LP	3.5
RR	devLPA	5
PS	mass	1.4
PS	eggsize	136.05622030424834
PS	ovarno	36.0
PS	winglength	2.009
PS	devL1A	8.5
PS	devL1LP	4.5
PS	devLPA	4
RS	mass	1.3
RS	eggsize	152.79172490853495
RS	ovarno	41.0
RS	winglength	2.009
RS	devL1A	9.5
RS	devL1LP	5.5
RS	devLPA	4
PR	mass	1.1
PR	eggsize	31.423908709619198
PR	winglength	2.009
PR	devL1A	7.5
PR	devL1LP	3.5
PR	devLPA	4
SS	mass	1.7
SS	eggsize	199.87436586817134
SS	ovarno	33.0
SS	winglength	2.01
SS	devL1A	9.5
SS	devL1LP	5.5
SS	devLPA	4
RR	mass	1.7
RR	eggsize	177.6837240938685
RR	ovarno	46.0
RR	winglength	2.01
RR	devL1A	8.5
RR	devL1LP	3.5
RR	devLPA	5
RS	mass	1.9
RS	eggsize	164.90542885139337
RS	winglength	2.01
RS	devL1A	10.5
RS	devL1LP	5.5
RS	devLPA	5
RS	mass	1.4
RS	eggsize	120.15613451545266
RS	ovarno	34.0
RS	winglength	2.011
RS	devL1A	9.5
RS	devL1LP	5.5
RS	devLPA	4
SS	mass	1.1
SS	eggsize	187.42415085448454
SS	winglength	2.011
SS	devL1A	9.5
SS	devL1LP	6.5
SS	devLPA	3
PR	mass	1.7
PR	eggsize	205.8868766266426
PR	winglength	2.012
PR	devL1A	8.5
PR	devL1LP	4.5
PR	devLPA	4
PS	mass	1.9
PS	eggsize	173.34667654701047
PS	ovarno	25.0
PS	winglength	2.013
PS	devL1A	9.5
PS	devL1LP	5.5
PS	devLPA	4
SS	mass	1.1
SS	eggsize	241.61262237434408
SS	ovarno	35.0
SS	winglength	2.013
SS	devL1A	9.5
SS	devL1LP	5.5
SS	devLPA	4
PR	mass	1.5
PR	eggsize	258.3124648720973
PR	ovarno	36.0
PR	winglength	2.013
PR	devL1A	8.5
PR	devL1LP	3.5
PR	devLPA	5
SS	mass	1.6
SS	eggsize	147.8913891964906
SS	ovarno	39.0
SS	winglength	2.013
SS	devL1A	9.5
SS	devL1LP	5.5
SS	devLPA	4
PP	mass	1.3
PP	eggsize	94.72969251249216
PP	winglength	2.013
PP	devL1A	11.5
PP	devL1LP	7.5
PP	devLPA	4
PR	mass	1.1
PR	eggsize	90.00802223694805
PR	winglength	2.013
PR	devL1A	7.5
PR	devL1LP	3.5
PR	devLPA	4
PS	mass	1.5
PS	eggsize	179.627510919111
PS	winglength	2.013
PS	devL1A	8.5
PS	devL1LP	5.5
PS	devLPA	3
RS	mass	1.9
RS	eggsize	221.48567317623093
RS	winglength	2.013
RS	devL1A	9.5
RS	devL1LP	5.5
RS	devLPA	4
PR	mass	1.2
PR	eggsize	16.446344773011333
PR	ovarno	34.0
PR	winglength	2.014
PR	devL1A	8.5
PR	devL1LP	4.5
PR	devLPA	4
SS	mass	1.2
SS	eggsize	168.31764450138442
SS	ovarno	39.0
SS	winglength	2.014
SS	devL1A	10.5
SS	devL1LP	5.5
SS	devLPA	5
RR	mass	1.5
RR	eggsize	209.28649238785584
RR	ovarno	45.0
RR	winglength	2.014
RR	devL1A	8.5
RR	devL1LP	3.5
RR	devLPA	5
RR	mass	1.9
RR	eggsize	101.35729045048076
RR	ovarno	48.0
RR	winglength	2.014
RR	devL1A	8.5
RR	devL1LP	3.5
RR	devLPA	5
RS	mass	1.8
RS	eggsize	120.47927946266175
RS	winglength	2.014
RS	devL1A	9.5
RS	devL1LP	5.5
RS	devLPA	4
RR	mass	1.9
RR	eggsize	174.17295711902304
RR	ovarno	39.0
RR	winglength	2.015
RR	devL1A	8.5
RR	devL1LP	3.5
RR	devLPA	5
PS	mass	1.3
PS	eggsize	140.64316348715892
PS	winglength	2.015
PS	devL1A	9.5
PS	devL1LP	5.5
PS	devLPA	4
RR	mass	1.6
RR	eggsize	125.99919208865157
RR	winglength	2.015
RR	devL1A	8.5
RR	devL1LP	4.5
RR	devLPA	4
SS	mass	1.6
SS	eggsize	296.3282301485158
SS	ovarno	33.0
SS	winglength	2.016
SS	devL1A	9.5
SS	devL1LP	5.5
